timestamp,daily yield(kWh),PV1 input power(W),PV2 input power(W),feed-in power(W),peak_production_time,peak_PV1_production_time,peak_PV2_production_time,peak_feed_inpower_time,low_feed_inpower_time,average_temperature,total_precipitation,daily_consumption,daily_feed_in_energy
2023-03-16,22.6,3837.0,3634.0,195.0,14:50:00,13:20:00,09:10:00,13:20:00,05:35:00,2.3421602787456446,0.25,13.470000000000027,0.09999999999999998
2023-03-17,20.5,3440.0,4075.0,522.0,15:05:00,10:00:00,10:00:00,13:45:00,01:10:00,6.111149825783972,0.0,9.460000000000036,0.0
2023-03-18,22.1,3751.0,3689.0,250.0,11:30:00,12:45:00,10:45:00,12:15:00,03:55:00,7.0501398601398595,0.0,9.850000000000023,0.10000000000000009
2023-03-19,24.4,4075.0,3288.0,107.0,11:15:00,12:25:00,12:10:00,13:15:00,02:55:00,8.113846153846154,0.0,6.839999999999918,0.09999999999999987
2023-03-20,17.3,4230.0,3892.0,283.0,18:00:00,11:40:00,11:40:00,14:20:00,06:05:00,9.513867595818816,0.0,6.110000000000014,0.0
2023-03-21,17.5,4106.0,4274.0,104.0,18:05:00,10:30:00,10:05:00,15:35:00,06:10:00,10.802439024390244,0.0,2.4400000000000546,0.10000000000000009
2023-03-22,25.1,3995.0,3525.0,0.0,13:20:00,13:00:00,10:25:00,00:05:00,12:10:00,13.313205574912892,0.0,1.2999999999999545,0.09999999999999987
2023-03-23,15.1,3859.0,3501.0,97.0,19:00:00,11:05:00,11:05:00,11:05:00,11:25:00,13.504599303135889,0.0,1.0,0.10000000000000009
2023-03-24,13.2,1560.0,1093.0,0.0,17:25:00,12:45:00,12:45:00,00:05:00,07:05:00,14.41247386759582,0.0,6.210000000000036,0.0
2023-03-25,20.0,4787.0,5233.0,527.0,13:00:00,13:05:00,10:25:00,12:20:00,06:10:00,10.002752613240418,0.0,6.720000000000027,0.19999999999999996
2023-03-26,21.7,3500.0,4128.0,147.0,13:30:00,11:55:00,09:05:00,18:45:00,07:05:00,9.143079710144926,2.79,1.7000000000000455,0.10000000000000009
2023-03-27,24.2,5363.0,4430.0,351.0,21:00:00,12:45:00,12:45:00,14:35:00,09:20:00,3.9209059233449475,2.79,9.739999999999895,0.19999999999999996
2023-03-28,24.1,5843.0,4866.0,797.0,19:45:00,12:35:00,12:35:00,12:45:00,01:05:00,1.8503819444444443,0.0,12.009999999999991,0.20000000000000018
2023-03-29,19.5,2557.0,3192.0,0.0,14:35:00,09:35:00,09:35:00,00:05:00,20:35:00,3.7328124999999996,0.0,16.620000000000005,0.0
2023-03-30,12.5,2648.0,2882.0,0.0,11:55:00,10:05:00,10:05:00,08:00:00,18:40:00,9.216332179930795,18.8,16.410000000000082,0.0
2023-03-31,13.2,2188.0,3672.0,0.0,11:35:00,08:55:00,08:55:00,07:10:00,05:35:00,9.601602787456445,6.35,15.129999999999995,0.0
2023-04-01,18.4,4308.0,3124.0,166.0,17:15:00,14:45:00,12:10:00,14:45:00,06:50:00,10.540902777777779,0.25,8.379999999999995,0.09999999999999964
2023-04-02,9.0,1442.0,1088.0,90.0,07:10:00,13:15:00,13:15:00,13:40:00,10:40:00,7.251324503311259,1.02,7.600000000000023,0.0
2023-04-03,21.5,3768.0,1378.0,0.0,15:40:00,15:50:00,15:50:00,15:20:00,18:00:00,,,0.39999999999997726,0.0
2023-04-04,25.7,5275.0,4491.0,254.0,17:05:00,11:40:00,11:50:00,11:25:00,05:25:00,1.9265972222222223,0.0,9.669999999999959,0.10000000000000009
2023-04-05,20.7,3283.0,4006.0,285.0,16:05:00,10:20:00,10:20:00,16:05:00,01:10:00,1.1952961672473867,0.0,12.300000000000068,0.10000000000000009
2023-04-06,28.1,5543.0,4009.0,48.0,13:05:00,13:30:00,10:05:00,14:30:00,13:25:00,3.16757785467128,0.0,11.329999999999927,0.10000000000000009
2023-04-07,16.2,1506.0,1036.0,88.0,00:15:00,15:20:00,15:20:00,19:00:00,19:50:00,4.291637630662021,0.76,13.930000000000064,0.0
2023-04-08,12.4,3433.0,1248.0,0.0,16:40:00,16:10:00,15:10:00,07:40:00,09:40:00,5.507793103448276,1.52,27.460000000000036,0.0
2023-04-09,17.2,4024.0,3992.0,0.0,15:10:00,11:05:00,11:05:00,09:15:00,21:00:00,6.478780487804879,2.79,14.07000000000005,0.0
2023-04-10,26.3,4478.0,4192.0,304.0,10:30:00,12:35:00,10:45:00,11:35:00,01:45:00,9.062326388888888,0.0,7.709999999999923,0.2999999999999998
2023-04-11,19.0,4399.0,2547.0,81.0,18:45:00,14:50:00,14:50:00,15:30:00,05:30:00,7.0895470383275265,5.08,8.920000000000073,0.10000000000000009
2023-04-12,15.1,3254.0,4140.0,78.0,19:45:00,09:50:00,09:50:00,09:45:00,05:25:00,8.434459930313588,0.0,10.17999999999995,0.10000000000000009
2023-04-13,22.0,2116.0,1509.0,71.0,19:45:00,13:35:00,13:35:00,14:10:00,23:55:00,9.238096885813148,1.52,1.0499999999999545,0.0
2023-04-14,7.2,882.0,665.0,0.0,12:20:00,13:20:00,13:20:00,09:50:00,19:05:00,6.838566433566434,25.15,28.190000000000055,0.0
2023-04-15,18.2,3771.0,1995.0,0.0,15:05:00,15:45:00,11:00:00,07:25:00,18:50:00,7.74623693379791,3.81,18.470000000000027,0.0
2023-04-16,21.3,4402.0,4391.0,286.0,13:25:00,11:15:00,11:15:00,13:30:00,08:05:00,9.4165625,0.25,11.32000000000005,0.09999999999999964
2023-04-17,23.7,4954.0,4319.0,291.0,13:30:00,13:30:00,10:25:00,12:45:00,05:20:00,8.444513888888888,0.0,4.8799999999999955,0.10000000000000009
2023-04-18,15.6,4135.0,1734.0,495.0,15:05:00,15:50:00,11:30:00,16:50:00,05:30:00,10.117526132404182,1.02,5.6299999999999955,0.10000000000000009
2023-04-19,21.7,4023.0,4455.0,234.0,16:30:00,09:55:00,10:15:00,10:15:00,15:20:00,8.774513888888889,1.52,1.1000000000000227,0.10000000000000009
2023-04-20,16.5,4751.0,4193.0,172.0,20:15:00,12:25:00,12:10:00,16:25:00,05:10:00,8.10965156794425,0.25,5.75,0.10000000000000009
2023-04-21,19.1,3810.0,3884.0,197.0,15:10:00,15:30:00,09:55:00,20:15:00,12:00:00,12.967916666666666,0.0,1.0,0.09999999999999964
2023-04-22,20.3,3131.0,3823.0,578.0,09:50:00,09:55:00,09:55:00,12:25:00,21:10:00,14.112857142857143,0.0,1.099999999999909,0.10000000000000009
2023-04-23,18.8,4097.0,3217.0,130.0,12:10:00,12:15:00,12:15:00,12:15:00,18:10:00,13.979756097560976,0.0,1.0,0.0
2023-04-24,16.2,3200.0,2073.0,273.0,10:05:00,14:35:00,14:05:00,10:20:00,18:25:00,11.726153846153846,3.56,1.1000000000001364,0.10000000000000009
2023-04-25,17.5,4317.0,2838.0,117.0,15:10:00,11:20:00,07:55:00,15:40:00,08:35:00,9.131157894736843,0.0,1.099999999999909,0.0
2023-04-26,23.3,4785.0,4588.0,762.0,09:45:00,10:35:00,09:50:00,14:45:00,05:50:00,6.104425087108014,0.0,2.0,0.20000000000000018
2023-04-27,22.3,4128.0,4286.0,281.0,14:40:00,10:50:00,10:50:00,15:25:00,06:05:00,8.100902777777778,0.0,2.2999999999999545,0.20000000000000018
2023-04-28,21.8,3175.0,3937.0,1000.0,15:30:00,09:40:00,09:40:00,20:05:00,06:10:00,10.436020761245674,0.25,1.7999999999999545,1.6999999999999993
2023-04-29,25.8,5090.0,4584.0,971.0,11:10:00,14:40:00,11:15:00,13:45:00,08:25:00,12.53885813148789,7.87,8.319999999999936,5.4
2023-04-30,55.0,4789.0,4771.0,8457.0,11:00:00,12:40:00,11:00:00,11:40:00,06:35:00,12.43517361111111,0.0,2.9700000000000273,37.4
2023-05-01,59.1,4857.0,4157.0,7570.0,12:35:00,13:50:00,09:50:00,11:05:00,05:45:00,12.783391003460208,0.0,1.0,39.2
2023-05-02,25.9,2811.0,2012.0,3908.0,17:40:00,13:45:00,11:45:00,14:15:00,08:50:00,14.232508710801394,0.0,1.0,7.099999999999994
2023-05-03,56.2,4931.0,4993.0,8053.0,10:30:00,14:20:00,10:05:00,10:30:00,06:20:00,11.863263888888888,0.0,0.900000000000091,41.3
2023-05-04,62.7,4612.0,4253.0,7884.0,12:05:00,12:20:00,10:05:00,11:55:00,06:10:00,11.641324041811847,0.0,0.5,44.80000000000001
2023-05-05,57.6,4938.0,4118.0,7692.0,13:30:00,13:30:00,10:45:00,13:30:00,05:30:00,15.422326388888889,0.0,0.7999999999999545,42.69999999999999
2023-05-06,41.1,5381.0,4410.0,8601.0,11:45:00,13:55:00,11:45:00,11:45:00,16:15:00,15.52455172413793,1.02,0.09999999999990905,25.80000000000001
2023-05-07,30.2,4811.0,2742.0,6720.0,14:50:00,15:15:00,14:50:00,14:50:00,16:40:00,10.793923611111111,0.0,0.2999999999999545,14.999999999999972
2023-05-08,65.0,4818.0,4318.0,7735.0,11:45:00,12:45:00,10:35:00,11:25:00,19:25:00,10.852083333333333,0.0,0.20000000000004547,45.60000000000002
2023-05-09,66.3,4818.0,4251.0,8026.0,11:50:00,13:10:00,11:00:00,11:50:00,22:05:00,11.732465277777777,0.0,0.10000000000013642,53.19999999999999
2023-05-10,61.4,5299.0,4316.0,8870.0,12:35:00,13:00:00,11:45:00,12:35:00,00:05:00,14.946586206896553,0.0,0.1999999999998181,53.900000000000034
