Rok;Mesic;Den;Hodnota;
2010;01;1;1470;
2010;01;2;2092;
2010;01;3;2818;
2010;01;4;1830;
2010;01;5;3083;
2010;01;6;1842;
2010;01;7;1919;
2010;01;8;1063;
2010;01;9;1219;
2010;01;10;1005;
2010;01;11;3401;
2010;01;12;1681;
2010;01;13;1903;
2010;01;14;1437;
2010;01;15;1857;
2010;01;16;2183;
2010;01;17;1708;
2010;01;18;2555;
2010;01;19;2538;
2010;01;20;2358;
2010;01;21;2647;
2010;01;22;5258;
2010;01;23;4995;
2010;01;24;6174;
2010;01;25;4850;
2010;01;26;6628;
2010;01;27;5585;
2010;01;28;1844;
2010;01;29;3901;
2010;01;30;6882;
2010;01;31;5903;
2010;02;1;3721;
2010;02;2;6279;
2010;02;3;6044;
2010;02;4;7138;
2010;02;5;2345;
2010;02;6;2844;
2010;02;7;5981;
2010;02;8;6546;
2010;02;9;3342;
2010;02;10;1794;
2010;02;11;3962;
2010;02;12;4411;
2010;02;13;3079;
2010;02;14;3547;
2010;02;15;3945;
2010;02;16;5266;
2010;02;17;2465;
2010;02;18;2084;
2010;02;19;3069;
2010;02;20;4726;
2010;02;21;9833;
2010;02;22;9397;
2010;02;23;7445;
2010;02;24;6073;
2010;02;25;9667;
2010;02;26;4028;
2010;02;27;10384;
2010;02;28;6344;
2010;03;1;5255;
2010;03;2;8554;
2010;03;3;9359;
2010;03;4;11183;
2010;03;5;10474;
2010;03;6;7918;
2010;03;7;13203;
2010;03;8;7926;
2010;03;9;14898;
2010;03;10;13186;
2010;03;11;5991;
2010;03;12;2920;
2010;03;13;3321;
2010;03;14;6375;
2010;03;15;13181;
2010;03;16;9058;
2010;03;17;5095;
2010;03;18;15348;
2010;03;19;11148;
2010;03;20;6386;
2010;03;21;6714;
2010;03;22;17478;
2010;03;23;14840;
2010;03;24;15369;
2010;03;25;14986;
2010;03;26;16467;
2010;03;27;7674;
2010;03;28;10972;
2010;03;29;6472;
2010;03;30;16662;
2010;03;31;2447;
2010;04;1;15930;
2010;04;2;13662;
2010;04;3;16994;
2010;04;4;15161;
2010;04;5;5747;
2010;04;6;19737;
2010;04;7;21562;
2010;04;8;20926;
2010;04;9;14232;
2010;04;10;11615;
2010;04;11;7167;
2010;04;12;9117;
2010;04;13;11442;
2010;04;14;8416;
2010;04;15;4106;
2010;04;16;17080;
