Rok;Mesic;Den;Hodnota;
2023;01;1;4072;
2023;01;2;4299;
2023;01;3;2582;
2023;01;4;2392;
2023;01;5;2737;
2023;01;6;1468;
2023;01;7;4464;
2023;01;8;1071;
2023;01;9;1226;
2023;01;10;2198;
2023;01;11;1719;
2023;01;12;3450;
2023;01;13;2085;
2023;01;14;4425;
2023;01;15;879;
2023;01;16;5567;
2023;01;17;4668;
2023;01;18;1396;
2023;01;19;4387;
2023;01;20;4010;
2023;01;21;1689;
2023;01;22;1273;
2023;01;23;6141;
2023;01;24;6173;
2023;01;25;1322;
2023;01;26;1027;
2023;01;27;1038;
2023;01;28;2146;
2023;01;29;2804;
2023;01;30;1602;
2023;01;31;2482;
2023;02;1;2384;
2023;02;2;3517;
2023;02;3;952;
2023;02;4;4574;
2023;02;5;8309;
2023;02;6;5387;
2023;02;7;8666;
2023;02;8;6306;
2023;02;9;9273;
2023;02;10;4471;
2023;02;11;2151;
2023;02;12;4794;
2023;02;13;2460;
2023;02;14;2595;
2023;02;15;5197;
2023;02;16;4552;
2023;02;17;1726;
2023;02;18;1992;
2023;02;19;3794;
2023;02;20;5766;
2023;02;21;2505;
2023;02;22;4493;
2023;02;23;6296;
2023;02;24;4039;
2023;02;25;4655;
2023;02;26;7685;
2023;02;27;5948;
2023;02;28;10302;
2023;03;1;12737;
2023;03;2;13282;
2023;03;3;13028;
2023;03;4;2925;
2023;03;5;5147;
2023;03;6;5758;
2023;03;7;4848;
2023;03;8;4083;
2023;03;9;4842;
2023;03;10;6692;
2023;03;11;7884;
2023;03;12;11517;
2023;03;13;3574;
2023;03;14;3625;
2023;03;15;9758;
2023;03;16;12863;
2023;03;17;16277;
2023;03;18;13910;
2023;03;19;13435;
2023;03;20;10552;
2023;03;21;8922;
2023;03;22;15468;
2023;03;23;6277;
2023;03;24;5144;
2023;03;25;10589;
2023;03;26;7854;
2023;03;27;10224;
2023;03;28;12500;
2023;03;29;8890;
2023;03;30;5302;
2023;03;31;7018;
2023;04;1;10188;
2023;04;2;9233;
2023;04;3;12453;
2023;04;4;18864;
2023;04;5;14410;
2023;04;6;20536;
2023;04;7;4551;
2023;04;8;7760;
2023;04;9;8198;
2023;04;10;21959;
2023;04;11;5867;
2023;04;12;20604;
2023;04;13;4682;
2023;04;14;2875;
2023;04;15;10474;
2023;04;16;13529;
2023;04;17;19480;
2023;04;18;12350;
2023;04;19;22917;
2023;04;20;18790;
2023;04;21;18762;
2023;04;22;24054;
2023;04;23;12317;
2023;04;24;5712;
2023;04;25;13488;
2023;04;26;17211;
2023;04;27;21767;
2023;04;28;17339;
2023;04;29;11319;
2023;04;30;18664;
2023;05;1;24652;
2023;05;2;9514;
2023;05;3;22218;
2023;05;4;25154;
2023;05;5;25566;
2023;05;6;16326;
2023;05;7;18962;
2023;05;8;27753;
2023;05;9;28408;
2023;05;10;22561;
2023;05;11;23148;
2023;05;12;16088;
2023;05;13;12618;
2023;05;14;12711;
2023;05;15;13341;
2023;05;16;12711;
2023;05;17;10041;
2023;05;18;21253;
2023;05;19;14645;
2023;05;20;25112;
2023;05;21;24038;
2023;05;22;25918;
2023;05;23;14794;
2023;05;24;22773;
2023;05;25;28737;
2023;05;26;16031;
2023;05;27;28850;
2023;05;28;28782;
2023;05;29;29305;
2023;05;30;29462;
2023;05;31;30160;
2023;06;1;27148;
2023;06;2;22446;
2023;06;3;30913;
2023;06;4;30635;
2023;06;5;13229;
2023;06;6;9479;
2023;06;7;14616;
2023;06;8;20923;
2023;06;9;16637;
2023;06;10;20037;
2023;06;11;27195;
2023;06;12;28554;
2023;06;13;18920;
2023;06;14;27453;
2023;06;15;24415;
2023;06;16;23419;
2023;06;17;22426;
2023;06;18;29714;
2023;06;19;19507;
2023;06;20;25706;
2023;06;21;21574;
2023;06;22;25475;
2023;06;23;11542;
2023;06;24;18563;
2023;06;25;25125;
2023;06;26;28883;
2023;06;27;19535;
2023;06;28;19253;
2023;06;29;29241;
2023;06;30;9723;
2023;07;1;21465;
2023;07;2;19420;
2023;07;3;22807;
2023;07;4;25101;
2023;07;5;15821;
2023;07;6;29043;
2023;07;7;30435;
2023;07;8;29512;
2023;07;9;28830;
2023;07;10;14303;
2023;07;11;28655;
2023;07;12;18910;
2023;07;13;20329;
2023;07;14;26214;
2023;07;15;29144;
2023;07;16;16795;
2023;07;17;21300;
2023;07;18;27564;
2023;07;19;24213;
2023;07;20;23975;
2023;07;21;19264;
2023;07;22;22365;
2023;07;23;24234;
2023;07;24;19109;
2023;07;25;16303;
2023;07;26;18399;
2023;07;27;21151;
2023;07;28;17150;
2023;07;29;16971;
2023;07;30;12889;
2023;07;31;16136;
2023;08;1;8029;
2023;08;2;16899;
2023;08;3;15202;
2023;08;4;16199;
2023;08;5;2496;
2023;08;6;5295;
2023;08;7;11440;
2023;08;8;17920;
2023;08;9;14146;
2023;08;10;25450;
2023;08;11;22232;
2023;08;12;24475;
2023;08;13;21396;
2023;08;14;20715;
2023;08;15;24189;
2023;08;16;22367;
2023;08;17;19332;
2023;08;18;24014;
2023;08;19;23193;
2023;08;20;18457;
2023;08;21;19482;
2023;08;22;21209;
2023;08;23;21667;
2023;08;24;21830;
2023;08;25;18597;
2023;08;26;15717;
2023;08;27;3116;
2023;08;28;6501;
2023;08;29;3060;
2023;08;30;4920;
2023;08;31;14318;
2023;09;1;11455;
2023;09;2;12802;
2023;09;3;11996;
2023;09;4;20570;
2023;09;5;20523;
2023;09;6;20679;
2023;09;7;20592;
2023;09;8;19971;
2023;09;9;19666;
2023;09;10;19506;
2023;09;11;18799;
2023;09;12;16815;
2023;09;13;16031;
2023;09;14;14387;
2023;09;15;15455;
2023;09;16;18012;
2023;09;17;17726;
2023;09;18;15921;
2023;09;19;11015;
2023;09;20;17395;
2023;09;21;12884;
2023;09;22;3272;
2023;09;23;8508;
2023;09;24;13572;
2023;09;25;13598;
2023;09;26;14009;
2023;09;27;15159;
2023;09;28;15416;
2023;09;29;14732;
2023;09;30;11582;
2023;10;1;11764;
2023;10;2;13926;
2023;10;3;13472;
2023;10;4;9542;
2023;10;5;10360;
2023;10;6;10850;
2023;10;7;8200;
2023;10;8;7128;
2023;10;9;1260;
2023;10;10;4692;
2023;10;11;10142;
2023;10;12;5904;
2023;10;13;7092;
2023;10;14;4180;
2023;10;15;11735;
2023;10;16;8609;
2023;10;17;9110;
2023;10;18;10481;
2023;10;19;3185;
2023;10;20;3187;
2023;10;21;10150;
2023;10;22;5697;
2023;10;23;9802;
2023;10;24;4913;
2023;10;25;7927;
2023;10;26;4992;
2023;10;27;1484;
2023;10;28;3681;
2023;10;29;8153;
2023;10;30;6932;
2023;10;31;3868;
2023;11;1;7833;
2023;11;2;6504;
2023;11;3;642;
2023;11;4;8305;
2023;11;5;4455;
2023;11;6;2643;
2023;11;7;6786;
2023;11;8;2857;
2023;11;9;6523;
2023;11;10;3526;
2023;11;11;2778;
2023;11;12;4929;
2023;11;13;2957;
2023;11;14;3353;
2023;11;15;2062;
2023;11;16;4465;
2023;11;17;2815;
2023;11;18;4011;
2023;11;19;1164;
2023;11;20;1323;
2023;11;21;2620;
2023;11;22;2041;
2023;11;23;1448;
2023;11;24;2870;
2023;11;25;2880;
2023;11;26;3366;
2023;11;27;1013;
2023;11;28;1080;
2023;11;29;2428;
2023;11;30;2359;
2023;12;1;1031;
2023;12;2;1890;
2023;12;3;3544;
2023;12;4;4963;
2023;12;5;2581;
2023;12;6;3448;
2023;12;7;2783;
2023;12;8;4542;
2023;12;9;961;
2023;12;10;2524;
2023;12;11;2579;
2023;12;12;3290;
2023;12;13;1147;
2023;12;14;1107;
2023;12;15;1837;
2023;12;16;2963;
2023;12;17;4243;
2023;12;18;4787;
2023;12;19;3875;
2023;12;20;1327;
2023;12;21;471;
2023;12;22;1842;
2023;12;23;626;
2023;12;24;891;
2023;12;25;1166;
2023;12;26;1675;
2023;12;27;4466;
2023;12;28;2329;
2023;12;29;3279;
2023;12;30;3459;
2023;12;31;3866;
