#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 23:16
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P1PKAR01;Praha, Karlov;01.01.1961;31.12.2002;14.4186;50.0675;260.5
P1PKAR01;Praha, Karlov;01.01.2003;31.12.2023;14.427778;50.069167;260.5

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Pyranometr;01.01.1984;31.12.2023;1.5

PRVEK
Denní úhrn globálního záøení [RGLB_D.SUM, kJ/m2]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1984;01;1;4291;
1984;01;2;1465;
1984;01;3;2005;
1984;01;4;2704;
1984;01;5;3672;
1984;01;6;461;
1984;01;7;1670;
1984;01;8;3082;
1984;01;9;486;
1984;01;10;3053;
1984;01;11;4237;
1984;01;12;2560;
1984;01;13;3578;
1984;01;14;1066;
1984;01;15;4576;
1984;01;16;2963;
1984;01;17;1199;
1984;01;18;4864;
1984;01;19;5519;
1984;01;20;1984;
1984;01;21;2927;
1984;01;22;2700;
1984;01;23;3665;
1984;01;24;3078;
1984;01;25;3236;
1984;01;26;5753;
1984;01;27;3571;
1984;01;28;3614;
1984;01;29;4954;
1984;01;30;2027;
1984;01;31;1652;
1984;02;1;2974;
1984;02;2;2344;
1984;02;3;6055;
1984;02;4;2664;
1984;02;5;1714;
1984;02;6;3866;
1984;02;7;724;
1984;02;8;1480;
1984;02;9;3553;
1984;02;10;7117;
1984;02;11;5090;
1984;02;12;9486;
1984;02;13;8348;
1984;02;14;6620;
1984;02;15;6646;
1984;02;16;6811;
1984;02;17;5411;
1984;02;18;6271;
1984;02;19;6818;
1984;02;20;2642;
1984;02;21;2164;
1984;02;22;1847;
1984;02;23;1098;
1984;02;24;540;
1984;02;25;1202;
1984;02;26;6250;
1984;02;27;2585;
