#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 23:16
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P1PLIB01;Praha, Libuš;01.01.1971;31.12.1999;14.4481;50.0083;303
P1PLIB01;Praha, Libuš;01.01.2000;31.12.2023;14.446944;50.007778;302.04

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Pyranometr;01.01.2004;31.12.2023;2

PRVEK
Denní úhrn globálního záøení [RGLB_D.SUM, kJ/m2]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
2004;01;1;2416;
2004;01;2;3164;
2004;01;3;2732;
2004;01;4;2588;
2004;01;5;2599;
2004;01;6;4493;
2004;01;7;1854;
2004;01;8;3841;
2004;01;9;886;
2004;01;10;1825;
2004;01;11;3247;
2004;01;12;4111;
2004;01;13;1094;
2004;01;14;4612;
2004;01;15;2070;
2004;01;16;1285;
2004;01;17;3305;
2004;01;18;1296;
2004;01;19;2182;
2004;01;20;3391;
2004;01;21;3312;
2004;01;22;4676;
2004;01;23;6286;
2004;01;24;6318;
2004;01;25;792;
2004;01;26;2747;
2004;01;27;2930;
2004;01;28;4284;
2004;01;29;4684;
2004;01;30;3974;
2004;01;31;5054;
2004;02;1;6088;
2004;02;2;1192;
2004;02;3;2930;
2004;02;4;3679;
2004;02;5;3388;
2004;02;6;4100;
2004;02;7;5638;
2004;02;8;5342;
2004;02;9;4432;
2004;02;10;3416;
2004;02;11;1742;
2004;02;12;5980;
2004;02;13;1865;
2004;02;14;2606;
2004;02;15;4018;
2004;02;16;3092;
2004;02;17;9169;
2004;02;18;3625;
2004;02;19;6430;
2004;02;20;11005;
2004;02;21;10440;
2004;02;22;5112;
2004;02;23;2473;
2004;02;24;9126;
2004;02;25;5486;
2004;02;26;7272;
2004;02;27;8978;
2004;02;28;6631;
2004;02;29;4579;
2004;03;1;6887;
2004;03;2;4518;
2004;03;3;2826;
2004;03;4;7117;
2004;03;5;12334;
2004;03;6;11686;
2004;03;7;8510;
2004;03;8;4496;
2004;03;9;4046;
2004;03;10;12024;
2004;03;11;14404;
2004;03;12;14242;
2004;03;13;10804;
2004;03;14;8820;
2004;03;15;10706;
2004;03;16;11758;
2004;03;17;15304;
2004;03;18;14242;
2004;03;19;13061;
2004;03;20;4126;
2004;03;21;7567;
2004;03;22;7607;
2004;03;23;6613;
2004;03;24;1613;
2004;03;25;1796;
2004;03;26;5911;
2004;03;27;8006;
2004;03;28;13752;
2004;03;29;17658;
2004;03;30;19292;
2004;03;31;18220;
2004;04;1;10814;
2004;04;2;18266;
2004;04;3;16412;
2004;04;4;12096;
2004;04;5;10339;
2004;04;6;6970;
2004;04;7;13162;
2004;04;8;13694;
2004;04;9;16398;
2004;04;10;14944;
2004;04;11;9500;
2004;04;12;21974;
2004;04;13;7232;
2004;04;14;22018;
2004;04;15;21996;
2004;04;16;14602;
2004;04;17;15314;
2004;04;18;14566;
2004;04;19;4324;
2004;04;20;10285;
2004;04;21;22453;
2004;04;22;22885;
2004;04;23;20383;
2004;04;24;10876;
2004;04;25;7150;
2004;04;26;15973;
2004;04;27;21272;
2004;04;28;23508;
2004;04;29;18367;
2004;04;30;23634;
2004;05;1;18846;
2004;05;2;7452;
2004;05;3;17136;
2004;05;4;15142;
2004;05;5;25168;
2004;05;6;10541;
2004;05;7;11689;
2004;05;8;19004;
2004;05;9;11909;
2004;05;10;7909;
2004;05;11;25240;
2004;05;12;16776;
2004;05;13;10782;
2004;05;14;25063;
2004;05;15;12186;
2004;05;16;16585;
2004;05;17;9367;
2004;05;18;13673;
2004;05;19;26669;
2004;05;20;26399;
2004;05;21;16481;
2004;05;22;19256;
2004;05;23;11639;
2004;05;24;20099;
2004;05;25;12769;
2004;05;26;17014;
2004;05;27;22795;
2004;05;28;17287;
2004;05;29;25492;
2004;05;30;29480;
2004;05;31;26633;
2004;06;1;10735;
2004;06;2;6246;
2004;06;3;7308;
2004;06;4;21910;
2004;06;5;12931;
2004;06;6;19742;
2004;06;7;21884;
2004;06;8;28102;
2004;06;9;21787;
2004;06;10;18256;
2004;06;11;12920;
2004;06;12;18263;
2004;06;13;14375;
2004;06;14;24682;
2004;06;15;22000;
2004;06;16;17892;
2004;06;17;28652;
2004;06;18;21060;
2004;06;19;15376;
2004;06;20;12546;
2004;06;21;23785;
2004;06;22;17446;
2004;06;23;18695;
2004;06;24;29048;
2004;06;25;21035;
2004;06;26;22061;
2004;06;27;12082;
2004;06;28;23530;
2004;06;29;19681;
2004;06;30;22630;
2004;07;1;15826;
2004;07;2;18670;
2004;07;3;19951;
2004;07;4;18497;
2004;07;5;22435;
2004;07;6;14220;
2004;07;7;27047;
2004;07;8;25618;
2004;07;9;17035;
2004;07;10;16434;
2004;07;11;19868;
2004;07;12;16409;
2004;07;13;7934;
2004;07;14;15246;
2004;07;15;13133;
2004;07;16;17035;
2004;07;17;27785;
2004;07;18;25758;
2004;07;19;18317;
2004;07;20;24376;
2004;07;21;25585;
2004;07;22;18738;
2004;07;23;25038;
2004;07;24;11066;
2004;07;25;22831;
2004;07;26;10498;
2004;07;27;11113;
2004;07;28;16844;
2004;07;29;25992;
2004;07;30;25787;
2004;07;31;22558;
2004;08;1;20203;
2004;08;2;20218;
2004;08;3;16236;
2004;08;4;23882;
2004;08;5;22709;
2004;08;6;24602;
2004;08;7;23566;
2004;08;8;22432;
2004;08;9;23026;
2004;08;10;24646;
2004;08;11;19408;
2004;08;12;20214;
2004;08;13;15682;
2004;08;14;13702;
2004;08;15;18940;
2004;08;16;21060;
2004;08;17;16866;
2004;08;18;16416;
2004;08;19;19422;
2004;08;20;5263;
2004;08;21;8935;
2004;08;22;12694;
2004;08;23;20038;
2004;08;24;6552;
2004;08;25;15901;
2004;08;26;12416;
2004;08;27;13266;
2004;08;28;10692;
2004;08;29;12737;
2004;08;30;12967;
2004;08;31;13766;
2004;09;1;17867;
2004;09;2;20207;
2004;09;3;19980;
2004;09;4;19116;
2004;09;5;17014;
2004;09;6;19876;
2004;09;7;19242;
2004;09;8;18709;
2004;09;9;19937;
2004;09;10;19951;
2004;09;11;14220;
2004;09;12;4529;
2004;09;13;13388;
2004;09;14;11765;
2004;09;15;8298;
2004;09;16;14224;
2004;09;17;18220;
2004;09;18;17356;
2004;09;19;15282;
2004;09;20;13334;
2004;09;21;8705;
2004;09;22;7416;
2004;09;23;2470;
2004;09;24;8676;
2004;09;25;7765;
2004;09;26;7085;
2004;09;27;10224;
2004;09;28;6012;
2004;09;29;6293;
2004;09;30;7103;
2004;10;1;12542;
2004;10;2;7301;
2004;10;3;8554;
2004;10;4;12100;
2004;10;5;12143;
2004;10;6;11009;
2004;10;7;7960;
2004;10;8;3578;
2004;10;9;6599;
2004;10;10;11952;
2004;10;11;11624;
2004;10;12;12766;
2004;10;13;11945;
2004;10;14;1620;
2004;10;15;2146;
2004;10;16;2462;
2004;10;17;7175;
2004;10;18;5076;
2004;10;19;8762;
2004;10;20;7880;
2004;10;21;6041;
2004;10;22;8575;
2004;10;23;8269;
2004;10;24;8935;
2004;10;25;6930;
2004;10;26;2214;
2004;10;27;1494;
2004;10;28;2542;
2004;10;29;4910;
2004;10;30;2621;
2004;10;31;3406;
2004;11;1;5861;
2004;11;2;1429;
2004;11;3;3164;
2004;11;4;2498;
2004;11;5;1400;
2004;11;6;3668;
2004;11;7;3283;
2004;11;8;3334;
2004;11;9;634;
2004;11;10;4997;
2004;11;11;2578;
2004;11;12;1458;
2004;11;13;2124;
2004;11;14;2894;
2004;11;15;2725;
2004;11;16;1030;
2004;11;17;1253;
2004;11;18;965;
2004;11;19;1724;
2004;11;20;2264;
2004;11;21;4378;
2004;11;22;1026;
2004;11;23;1681;
2004;11;24;5609;
2004;11;25;5659;
2004;11;26;3636;
2004;11;27;810;
2004;11;28;1944;
2004;11;29;1890;
2004;11;30;3463;
2004;12;1;4050;
2004;12;2;3985;
2004;12;3;1692;
2004;12;4;3715;
2004;12;5;1195;
2004;12;6;3388;
2004;12;7;2347;
2004;12;8;2081;
2004;12;9;1462;
2004;12;10;1717;
2004;12;11;799;
2004;12;12;572;
2004;12;13;817;
2004;12;14;785;
2004;12;15;911;
2004;12;16;1976;
2004;12;17;2801;
2004;12;18;1523;
2004;12;19;1465;
2004;12;20;4075;
2004;12;21;4349;
2004;12;22;828;
2004;12;23;839;
2004;12;24;576;
2004;12;25;2984;
2004;12;26;1087;
2004;12;27;619;
2004;12;28;1339;
2004;12;29;1681;
2004;12;30;3431;
2004;12;31;1235;
2005;01;1;1174;
2005;01;2;1876;
2005;01;3;1552;
2005;01;4;652;
2005;01;5;2048;
2005;01;6;2120;
2005;01;7;3222;
2005;01;8;5195;
2005;01;9;3931;
2005;01;10;4698;
2005;01;11;3560;
2005;01;12;1685;
2005;01;13;2930;
2005;01;14;2214;
2005;01;15;2876;
2005;01;16;5774;
2005;01;17;5688;
2005;01;18;2218;
2005;01;19;3996;
2005;01;20;1613;
2005;01;21;2858;
2005;01;22;3287;
2005;01;23;2653;
2005;01;24;4568;
2005;01;25;3344;
2005;01;26;3470;
2005;01;27;3240;
2005;01;28;7020;
2005;01;29;2970;
2005;01;30;4241;
2005;01;31;1714;
2005;02;1;4360;
2005;02;2;2686;
2005;02;3;3233;
2005;02;4;6631;
2005;02;5;8042;
2005;02;6;8687;
2005;02;7;8885;
2005;02;8;8582;
2005;02;9;4961;
2005;02;10;4590;
2005;02;11;2444;
2005;02;12;1620;
2005;02;13;3874;
2005;02;14;4147;
2005;02;15;4129;
2005;02;16;2948;
2005;02;17;1300;
2005;02;18;6984;
2005;02;19;6678;
2005;02;20;3560;
2005;02;21;4460;
2005;02;22;1991;
2005;02;23;6725;
2005;02;24;5594;
2005;02;25;5206;
2005;02;26;7524;
2005;02;27;12013;
2005;02;28;9137;
2005;03;1;10742;
2005;03;2;12802;
2005;03;3;12254;
2005;03;4;7121;
2005;03;5;8147;
2005;03;6;6642;
2005;03;7;11678;
2005;03;8;3852;
2005;03;9;6520;
2005;03;10;14076;
2005;03;11;6073;
2005;03;12;10044;
2005;03;13;5238;
2005;03;14;14270;
2005;03;15;12600;
2005;03;16;13460;
2005;03;17;6620;
2005;03;18;9997;
2005;03;19;9443;
2005;03;20;17762;
2005;03;21;17291;
2005;03;22;17536;
2005;03;23;6235;
2005;03;24;14846;
2005;03;25;12632;
2005;03;26;7445;
2005;03;27;5252;
2005;03;28;6970;
2005;03;29;7974;
2005;03;30;13151;
2005;03;31;19958;
2005;04;1;20165;
2005;04;2;20404;
2005;04;3;20464;
2005;04;4;20207;
2005;04;5;15580;
2005;04;6;16188;
2005;04;7;7276;
2005;04;8;4324;
2005;04;9;5765;
2005;04;10;9964;
2005;04;11;14015;
2005;04;12;20994;
2005;04;13;9231;
2005;04;14;19780;
2005;04;15;19557;
2005;04;16;20033;
2005;04;17;6291;
2005;04;18;7040;
2005;04;19;17266;
2005;04;20;7709;
2005;04;21;24772;
2005;04;22;24212;
2005;04;23;23275;
2005;04;24;17790;
2005;04;25;5434;
2005;04;26;15980;
2005;04;27;10059;
2005;04;28;20370;
2005;04;29;20849;
2005;04;30;22700;
2005;05;1;17804;
2005;05;2;24144;
2005;05;3;6979;
2005;05;4;13292;
2005;05;5;16340;
2005;05;6;8564;
2005;05;7;17994;
2005;05;8;17189;
2005;05;9;15942;
2005;05;10;24087;
2005;05;11;19897;
2005;05;12;20944;
2005;05;13;27809;
2005;05;14;19615;
2005;05;15;9567;
2005;05;16;23081;
2005;05;17;8149;
2005;05;18;3626;
2005;05;19;21156;
2005;05;20;28064;
2005;05;21;26220;
2005;05;22;19984;
2005;05;23;11216;
2005;05;24;18999;
2005;05;25;29303;
2005;05;26;27217;
2005;05;27;28453;
2005;05;28;28388;
2005;05;29;25185;
2005;05;30;19578;
2005;05;31;18709;
2005;06;1;25356;
2005;06;2;26140;
2005;06;3;28770;
2005;06;4;7155;
2005;06;5;16416;
2005;06;6;12331;
2005;06;7;12508;
2005;06;8;14921;
2005;06;9;29255;
2005;06;10;17337;
2005;06;11;9714;
2005;06;12;23077;
2005;06;13;22068;
2005;06;14;22158;
2005;06;15;7770;
2005;06;16;24201;
2005;06;17;16011;
2005;06;18;30234;
2005;06;19;28282;
2005;06;20;25595;
2005;06;21;28004;
2005;06;22;19197;
2005;06;23;29608;
2005;06;24;29036;
2005;06;25;20793;
2005;06;26;11538;
2005;06;27;26263;
2005;06;28;28924;
2005;06;29;17826;
2005;06;30;6081;
2005;07;1;6923;
2005;07;2;12798;
2005;07;3;27504;
2005;07;4;26181;
2005;07;5;2347;
2005;07;6;20613;
2005;07;7;17955;
2005;07;8;4346;
2005;07;9;15463;
2005;07;10;13737;
2005;07;11;10491;
2005;07;12;24903;
2005;07;13;24745;
2005;07;14;24016;
2005;07;15;25827;
2005;07;16;23882;
2005;07;17;23812;
2005;07;18;26714;
2005;07;19;11732;
2005;07;20;12604;
2005;07;21;13921;
2005;07;22;6267;
2005;07;23;12767;
2005;07;24;24195;
2005;07;25;9723;
2005;07;26;18789;
2005;07;27;26039;
2005;07;28;25917;
2005;07;29;23587;
2005;07;30;19121;
2005;07;31;14363;
2005;08;1;25293;
2005;08;2;15525;
2005;08;3;10979;
2005;08;4;15593;
2005;08;5;20443;
2005;08;6;16392;
2005;08;7;14634;
2005;08;8;15664;
2005;08;9;11655;
2005;08;10;14914;
2005;08;11;21563;
2005;08;12;10616;
2005;08;13;15341;
2005;08;14;11272;
2005;08;15;3061;
2005;08;16;6010;
2005;08;17;14635;
2005;08;18;21991;
2005;08;19;20445;
2005;08;20;12118;
2005;08;21;16201;
2005;08;22;7230;
2005;08;23;12089;
2005;08;24;8970;
2005;08;25;11261;
2005;08;26;21097;
2005;08;27;19639;
2005;08;28;19098;
2005;08;29;21325;
2005;08;30;20422;
2005;08;31;20022;
2005;09;1;18589;
2005;09;2;16281;
2005;09;3;6922;
2005;09;4;17715;
2005;09;5;19466;
2005;09;6;19569;
2005;09;7;19767;
2005;09;8;19192;
2005;09;9;11713;
2005;09;10;13466;
2005;09;11;11127;
2005;09;12;8762;
2005;09;13;5909;
2005;09;14;16129;
2005;09;15;10114;
2005;09;16;5000;
2005;09;17;7687;
2005;09;18;17560;
2005;09;19;18519;
2005;09;20;13235;
2005;09;21;10850;
2005;09;22;15738;
2005;09;23;15750;
2005;09;24;15828;
2005;09;25;14892;
2005;09;26;11195;
2005;09;27;9609;
2005;09;28;5985;
2005;09;29;7316;
2005;09;30;6734;
2005;10;1;11693;
2005;10;2;1730;
2005;10;3;2480;
2005;10;4;9262;
2005;10;5;10847;
2005;10;6;12028;
2005;10;7;12347;
2005;10;8;8630;
2005;10;9;12464;
2005;10;10;11849;
2005;10;11;11971;
2005;10;12;11405;
2005;10;13;10592;
2005;10;14;10674;
2005;10;15;10500;
2005;10;16;10871;
2005;10;17;7305;
2005;10;18;3799;
2005;10;19;10550;
2005;10;20;6138;
2005;10;21;5245;
2005;10;22;7869;
2005;10;23;7185;
2005;10;24;8226;
2005;10;25;3716;
2005;10;26;8083;
2005;10;27;8920;
2005;10;28;8383;
2005;10;29;9037;
2005;10;30;7938;
2005;10;31;4292;
2005;11;1;4087;
2005;11;2;2832;
2005;11;3;3024;
2005;11;4;1647;
2005;11;5;860;
2005;11;6;3879;
2005;11;7;1268;
2005;11;8;6811;
2005;11;9;2333;
2005;11;10;2900;
2005;11;11;5139;
2005;11;12;2180;
2005;11;13;1038;
2005;11;14;1094;
2005;11;15;1484;
2005;11;16;1700;
2005;11;17;3209;
2005;11;18;3924;
2005;11;19;1280;
2005;11;20;1169;
2005;11;21;2098;
2005;11;22;859;
2005;11;23;1936;
2005;11;24;3442;
2005;11;25;2818;
2005;11;26;3162;
2005;11;27;1493;
2005;11;28;2357;
2005;11;29;1953;
2005;11;30;2318;
2005;12;1;3601;
2005;12;2;1922;
2005;12;3;836;
2005;12;4;1907;
2005;12;5;1502;
2005;12;6;1110;
2005;12;7;2511;
2005;12;8;3507;
2005;12;9;2092;
2005;12;10;1486;
2005;12;11;2824;
2005;12;12;2223;
2005;12;13;1896;
2005;12;14;1281;
2005;12;15;1457;
2005;12;16;586;
2005;12;17;861;
2005;12;18;3325;
2005;12;19;2434;
2005;12;20;1317;
2005;12;21;2101;
2005;12;22;1271;
2005;12;23;1586;
2005;12;24;709;
2005;12;25;1819;
2005;12;26;1212;
2005;12;27;2023;
2005;12;28;948;
2005;12;29;2330;
2005;12;30;3458;
2005;12;31;1439;
2006;01;1;1533;
2006;01;2;1434;
2006;01;3;1008;
2006;01;4;1471;
2006;01;5;1396;
2006;01;6;2262;
2006;01;7;1895;
2006;01;8;2715;
2006;01;9;4751;
2006;01;10;5032;
2006;01;11;5091;
2006;01;12;1409;
2006;01;13;3241;
2006;01;14;2183;
2006;01;15;4235;
2006;01;16;3772;
2006;01;17;2736;
2006;01;18;2390;
2006;01;19;2063;
2006;01;20;1868;
2006;01;21;1578;
2006;01;22;4833;
2006;01;23;6183;
2006;01;24;6419;
2006;01;25;3568;
2006;01;26;3717;
2006;01;27;6506;
2006;01;28;6620;
2006;01;29;6580;
2006;01;30;4326;
2006;01;31;4703;
2006;02;1;6492;
2006;02;2;6913;
