Rok;Mesic;Den;Hodnota;
2023;01;1;2983;
2023;01;2;3504;
2023;01;3;3053;
2023;01;4;1754;
2023;01;5;3072;
2023;01;6;1881;
2023;01;7;2315;
2023;01;8;1237;
2023;01;9;1448;
2023;01;10;2730;
2023;01;11;2202;
2023;01;12;1952;
2023;01;13;1999;
2023;01;14;4723;
2023;01;15;1277;
2023;01;16;5957;
2023;01;17;5843;
2023;01;18;2414;
2023;01;19;4034;
2023;01;20;2528;
2023;01;21;2139;
2023;01;22;1444;
2023;01;23;1842;
2023;01;24;1117;
2023;01;25;994;
2023;01;26;529;
2023;01;27;855;
2023;01;28;1041;
2023;01;29;4080;
2023;01;30;3195;
2023;01;31;2298;
2023;02;1;3085;
2023;02;2;3579;
2023;02;3;919;
2023;02;4;3478;
2023;02;5;7168;
2023;02;6;5261;
2023;02;7;8560;
2023;02;8;8516;
2023;02;9;9133;
2023;02;10;5576;
2023;02;11;3626;
2023;02;12;3101;
2023;02;13;3993;
2023;02;14;2796;
2023;02;15;3560;
2023;02;16;8422;
2023;02;17;1809;
2023;02;18;3668;
2023;02;19;2513;
2023;02;20;6134;
2023;02;21;3261;
2023;02;22;4856;
2023;02;23;7561;
2023;02;24;5725;
2023;02;25;4191;
2023;02;26;6693;
2023;02;27;7815;
2023;02;28;12337;
2023;03;1;12739;
2023;03;2;12689;
2023;03;3;13394;
2023;03;4;4698;
2023;03;5;5846;
2023;03;6;6087;
2023;03;7;6836;
2023;03;8;4287;
2023;03;9;6155;
2023;03;10;7071;
2023;03;11;4280;
2023;03;12;11520;
2023;03;13;4163;
2023;03;14;5033;
2023;03;15;11478;
2023;03;16;16461;
2023;03;17;15355;
2023;03;18;13032;
2023;03;19;10289;
2023;03;20;7870;
2023;03;21;13544;
2023;03;22;16390;
2023;03;23;6106;
2023;03;24;5668;
2023;03;25;11200;
2023;03;26;8960;
2023;03;27;11617;
2023;03;28;14896;
2023;03;29;7583;
2023;03;30;5365;
2023;03;31;6134;
2023;04;1;8659;
2023;04;2;4756;
2023;04;3;12568;
2023;04;4;15797;
2023;04;5;13031;
2023;04;6;19237;
2023;04;7;9240;
2023;04;8;6152;
2023;04;9;8284;
2023;04;10;19572;
2023;04;11;8113;
2023;04;12;17919;
2023;04;13;8274;
2023;04;14;2486;
2023;04;15;6914;
2023;04;16;17507;
2023;04;17;8676;
2023;04;18;7226;
2023;04;19;17734;
2023;04;20;9935;
2023;04;21;20001;
2023;04;22;23883;
2023;04;23;8729;
2023;04;24;9794;
2023;04;25;11353;
2023;04;26;14274;
2023;04;27;21220;
2023;04;28;11656;
2023;04;29;13343;
2023;04;30;24916;
2023;05;1;23251;
2023;05;2;11391;
2023;05;3;22270;
2023;05;4;24383;
2023;05;5;24647;
2023;05;6;18929;
2023;05;7;12116;
2023;05;8;26207;
2023;05;9;28054;
2023;05;10;20043;
2023;05;11;14832;
2023;05;12;20688;
2023;05;13;8358;
2023;05;14;15108;
2023;05;15;15726;
2023;05;16;16080;
2023;05;17;14078;
2023;05;18;16007;
2023;05;19;18673;
2023;05;20;20350;
2023;05;21;25514;
2023;05;22;26021;
2023;05;23;14095;
2023;05;24;17904;
2023;05;25;28781;
2023;05;26;22956;
2023;05;27;28928;
2023;05;28;28704;
2023;05;29;28964;
2023;05;30;25667;
2023;05;31;30060;
2023;06;1;26271;
2023;06;2;24974;
2023;06;3;30743;
2023;06;4;30599;
2023;06;5;10362;
2023;06;6;9817;
2023;06;7;20614;
2023;06;8;19584;
2023;06;9;19268;
2023;06;10;18494;
2023;06;11;29170;
2023;06;12;28049;
2023;06;13;21301;
2023;06;14;21563;
2023;06;15;22457;
2023;06;16;21283;
2023;06;17;20049;
2023;06;18;28562;
2023;06;19;18124;
2023;06;20;22847;
2023;06;21;19387;
2023;06;22;26754;
2023;06;23;12929;
2023;06;24;24307;
2023;06;25;24960;
2023;06;26;24638;
2023;06;27;17507;
2023;06;28;23531;
2023;06;29;30528;
2023;06;30;8436;
2023;07;1;22631;
2023;07;2;19641;
2023;07;3;22157;
2023;07;4;21051;
2023;07;5;21864;
2023;07;6;25912;
2023;07;7;28825;
2023;07;8;29803;
2023;07;9;28602;
2023;07;10;15558;
2023;07;11;26898;
2023;07;12;19934;
2023;07;13;20466;
2023;07;14;25530;
2023;07;15;28937;
2023;07;16;14984;
2023;07;17;24888;
2023;07;18;26983;
2023;07;19;22365;
2023;07;20;20526;
2023;07;21;19054;
2023;07;22;19529;
2023;07;23;20776;
2023;07;24;11765;
2023;07;25;13275;
2023;07;26;13142;
2023;07;27;17711;
2023;07;28;13283;
2023;07;29;17818;
2023;07;30;11919;
2023;07;31;14120;
2023;08;1;9813;
2023;08;2;13101;
2023;08;3;20742;
2023;08;4;16986;
2023;08;5;5521;
2023;08;6;5984;
2023;08;7;11974;
2023;08;8;19977;
2023;08;9;16426;
2023;08;10;22495;
2023;08;11;23402;
2023;08;12;22590;
2023;08;13;16418;
2023;08;14;21898;
2023;08;15;22908;
2023;08;16;20749;
2023;08;17;17348;
2023;08;18;20393;
2023;08;19;23540;
2023;08;20;15741;
2023;08;21;16466;
2023;08;22;19254;
2023;08;23;21261;
2023;08;24;21934;
2023;08;25;14738;
2023;08;26;14550;
2023;08;27;3468;
2023;08;28;2614;
2023;08;29;3444;
2023;08;30;7732;
2023;08;31;14763;
2023;09;1;8234;
2023;09;2;12385;
2023;09;3;13849;
2023;09;4;20938;
2023;09;5;20612;
2023;09;6;20589;
2023;09;7;20268;
2023;09;8;20250;
2023;09;9;19705;
2023;09;10;19487;
2023;09;11;17858;
2023;09;12;16524;
2023;09;13;12570;
2023;09;14;11002;
2023;09;15;15887;
2023;09;16;16524;
2023;09;17;17819;
2023;09;18;13962;
2023;09;19;12308;
2023;09;20;16628;
2023;09;21;10903;
2023;09;22;3407;
2023;09;23;8347;
2023;09;24;13874;
2023;09;25;13369;
2023;09;26;14163;
2023;09;27;15017;
2023;09;28;15224;
2023;09;29;14017;
2023;09;30;10833;
2023;10;1;11962;
2023;10;2;13756;
2023;10;3;12894;
2023;10;4;10376;
2023;10;5;10384;
2023;10;6;12712;
2023;10;7;6847;
2023;10;8;4499;
2023;10;9;2024;
2023;10;10;8945;
2023;10;11;11922;
2023;10;12;3653;
2023;10;13;7043;
2023;10;14;4475;
2023;10;15;10043;
2023;10;16;10617;
2023;10;17;8417;
2023;10;18;9237;
2023;10;19;5077;
2023;10;20;2883;
2023;10;21;10444;
2023;10;22;9906;
2023;10;23;9420;
2023;10;24;2489;
2023;10;25;9200;
2023;10;26;4379;
2023;10;27;2202;
2023;10;28;4883;
2023;10;29;5615;
2023;10;30;6121;
2023;10;31;2152;
2023;11;1;5996;
2023;11;2;5336;
2023;11;3;1525;
2023;11;4;7810;
2023;11;5;4675;
2023;11;6;5057;
2023;11;7;6049;
2023;11;8;2263;
2023;11;9;6019;
2023;11;10;2485;
2023;11;11;1814;
2023;11;12;5307;
2023;11;13;1835;
2023;11;14;1839;
2023;11;15;3579;
2023;11;16;4409;
2023;11;17;4415;
2023;11;18;2289;
2023;11;19;3368;
2023;11;20;3081;
2023;11;21;2480;
2023;11;22;728;
2023;11;23;2300;
2023;11;24;3641;
2023;11;25;2680;
2023;11;26;2483;
2023;11;27;2272;
2023;11;28;1051;
2023;11;29;4544;
2023;11;30;3443;
2023;12;1;835;
2023;12;2;1620;
2023;12;3;2869;
2023;12;4;4454;
2023;12;5;2608;
2023;12;6;2914;
2023;12;7;1171;
2023;12;8;3637;
2023;12;9;1699;
2023;12;10;2451;
2023;12;11;2601;
2023;12;12;3274;
2023;12;13;2202;
2023;12;14;1319;
2023;12;15;3058;
2023;12;16;1821;
2023;12;17;4385;
2023;12;18;4900;
2023;12;19;3120;
2023;12;20;1771;
