Rok;Mesic;Den;Hodnota;
2010;01;1;0;
2010;01;2;0;
2010;01;3;0;
2010;01;4;1.3;
2010;01;5;4.3;
2010;01;6;0;
2010;01;7;1.4;
2010;01;8;0;
2010;01;9;0;
2010;01;10;0;
2010;01;11;0;
2010;01;12;0;
2010;01;13;0;
2010;01;14;0;
2010;01;15;0;
2010;01;16;0;
2010;01;17;0;
2010;01;18;0;
2010;01;19;0;
2010;01;20;5.6;
2010;01;21;0;
2010;01;22;.6;
2010;01;23;0;
2010;01;24;4.2;
2010;01;25;0;
2010;01;26;6.5;
2010;01;27;4.9;
2010;01;28;.5;
2010;01;29;.2;
2010;01;30;6.7;
2010;01;31;3.1;
2010;02;1;5.7;
2010;02;2;4;
2010;02;3;2.4;
2010;02;4;3.2;
2010;02;5;0;
2010;02;6;0;
2010;02;7;1.8;
2010;02;8;2;
2010;02;9;0;
2010;02;10;0;
2010;02;11;1.5;
2010;02;12;0;
2010;02;13;.5;
2010;02;14;3.6;
2010;02;15;0;
2010;02;16;1.2;
2010;02;17;0;
2010;02;18;0;
2010;02;19;0;
2010;02;20;2.4;
2010;02;21;4.2;
2010;02;22;5.3;
2010;02;23;3.9;
2010;02;24;.5;
2010;02;25;7;
2010;02;26;0;
2010;02;27;8.8;
2010;02;28;.2;
2010;03;1;2.9;
2010;03;2;4;
2010;03;3;4.7;
2010;03;4;6.3;
2010;03;5;3.9;
2010;03;6;0;
2010;03;7;9.6;
2010;03;8;6.6;
2010;03;9;10.4;
2010;03;10;9.4;
2010;03;11;.1;
2010;03;12;0;
2010;03;13;0;
2010;03;14;0;
2010;03;15;5.1;
2010;03;16;1.3;
2010;03;17;.3;
2010;03;18;10.1;
2010;03;19;5.6;
2010;03;20;1.8;
2010;03;21;2;
2010;03;22;11.5;
2010;03;23;7.3;
2010;03;24;9.4;
2010;03;25;9.5;
2010;03;26;11.2;
2010;03;27;1.6;
2010;03;28;2.2;
2010;03;29;0;
2010;03;30;8.9;
2010;03;31;1.6;
2010;04;1;5.9;
2010;04;2;6;
2010;04;3;9.9;
2010;04;4;8.3;
2010;04;5;.4;
2010;04;6;11.4;
2010;04;7;12.6;
2010;04;8;12.2;
2010;04;9;4.9;
2010;04;10;1;
2010;04;11;.7;
2010;04;12;1.4;
2010;04;13;6.9;
2010;04;14;3.1;
2010;04;15;0;
2010;04;16;8;
2010;04;17;12.9;
2010;04;18;10.8;
2010;04;19;11.4;
2010;04;20;8.5;
2010;04;21;3.5;
2010;04;22;11.4;
2010;04;23;13.1;
2010;04;24;12.9;
2010;04;25;11.9;
2010;04;26;8.5;
2010;04;27;5.8;
2010;04;28;12;
2010;04;29;13.1;
2010;04;30;9.9;
2010;05;1;4.6;
2010;05;2;0;
2010;05;3;.2;
2010;05;4;.1;
2010;05;5;.8;
2010;05;6;1.2;
2010;05;7;8.5;
2010;05;8;6.3;
2010;05;9;8.9;
2010;05;10;3.8;
2010;05;11;4.8;
2010;05;12;2.8;
2010;05;13;0;
2010;05;14;0;
2010;05;15;.2;
2010;05;16;.7;
2010;05;17;4.3;
2010;05;18;.2;
2010;05;19;0;
2010;05;20;2.6;
2010;05;21;1.4;
2010;05;22;6.7;
2010;05;23;7.5;
2010;05;24;5.3;
2010;05;25;7.3;
2010;05;26;2.6;
2010;05;27;2.3;
2010;05;28;8.1;
2010;05;29;11.2;
2010;05;30;3.7;
2010;05;31;.2;
2010;06;1;0;
2010;06;2;0;
2010;06;3;.1;
2010;06;4;12.1;
2010;06;5;15.1;
2010;06;6;14.8;
2010;06;7;8.2;
2010;06;8;9.7;
2010;06;9;7.8;
2010;06;10;13.4;
2010;06;11;14.3;
2010;06;12;8.9;
2010;06;13;3.6;
2010;06;14;2.2;
2010;06;15;6.8;
2010;06;16;7.9;
2010;06;17;13.8;
2010;06;18;3.4;
2010;06;19;4.8;
2010;06;20;1.3;
2010;06;21;4.7;
2010;06;22;11.6;
2010;06;23;9.4;
2010;06;24;9.7;
2010;06;25;9.6;
2010;06;26;8.1;
2010;06;27;14.7;
2010;06;28;15.5;
2010;06;29;15.3;
2010;06;30;9.4;
2010;07;1;9.5;
2010;07;2;14.6;
2010;07;3;14.8;
2010;07;4;14.7;
2010;07;5;3.8;
2010;07;6;.9;
2010;07;7;13.2;
2010;07;8;15.2;
2010;07;9;15.2;
2010;07;10;15.3;
2010;07;11;15.2;
2010;07;12;15.1;
2010;07;13;8.5;
2010;07;14;12.5;
2010;07;15;4.9;
2010;07;16;13.4;
2010;07;17;8.6;
2010;07;18;.3;
2010;07;19;9.6;
2010;07;20;5.2;
2010;07;21;12.7;
2010;07;22;12.5;
2010;07;23;.4;
2010;07;24;.3;
2010;07;25;.7;
2010;07;26;5.8;
2010;07;27;12.6;
2010;07;28;5.9;
2010;07;29;5.2;
2010;07;30;1.4;
2010;07;31;13;
2010;08;1;13.9;
2010;08;2;6.7;
2010;08;3;.8;
2010;08;4;9.6;
2010;08;5;7.4;
2010;08;6;.1;
2010;08;7;0;
2010;08;8;6.2;
2010;08;9;1.6;
2010;08;10;12.4;
2010;08;11;7.8;
2010;08;12;6.6;
2010;08;13;2.1;
2010;08;14;3.2;
2010;08;15;9;
2010;08;16;3.7;
2010;08;17;.5;
2010;08;18;1.9;
2010;08;19;6.3;
2010;08;20;13.3;
2010;08;21;13.2;
2010;08;22;13;
2010;08;23;6.3;
2010;08;24;4.5;
2010;08;25;9;
2010;08;26;2.8;
2010;08;27;.8;
2010;08;28;1.6;
2010;08;29;7.6;
2010;08;30;3.3;
2010;08;31;0;
2010;09;1;6.5;
2010;09;2;3.8;
2010;09;3;6.2;
2010;09;4;6.5;
2010;09;5;5.9;
2010;09;6;9.3;
2010;09;7;7.4;
2010;09;8;0;
2010;09;9;1;
2010;09;10;7.4;
2010;09;11;7.8;
2010;09;12;9.5;
2010;09;13;3;
2010;09;14;4.6;
2010;09;15;0;
2010;09;16;3.7;
2010;09;17;6.2;
2010;09;18;7;
2010;09;19;8.1;
2010;09;20;8.6;
2010;09;21;11.5;
2010;09;22;11;
2010;09;23;10.8;
2010;09;24;10.3;
2010;09;25;0;
2010;09;26;0;
2010;09;27;0;
2010;09;28;0;
2010;09;29;.1;
2010;09;30;8.6;
2010;10;1;9.1;
2010;10;2;8;
2010;10;3;.1;
2010;10;4;0;
2010;10;5;0;
2010;10;6;0;
2010;10;7;3.7;
2010;10;8;9.9;
2010;10;9;8.8;
2010;10;10;10;
2010;10;11;9.6;
2010;10;12;9.8;
2010;10;13;6.8;
2010;10;14;;
2010;10;15;;
2010;10;16;;
2010;10;17;;
2010;10;18;0;
2010;10;19;.3;
2010;10;20;1.5;
2010;10;21;3.1;
2010;10;22;7.8;
2010;10;23;7.8;
2010;10;24;0;
2010;10;25;0;
2010;10;26;6.3;
2010;10;27;8.7;
2010;10;28;2.5;
2010;10;29;8.5;
2010;10;30;8.7;
2010;10;31;3.9;
2010;11;1;2.3;
2010;11;2;4.7;
2010;11;3;2.5;
2010;11;4;.3;
2010;11;5;2.9;
