category;timestamp;outputProducedTotal;environmentTotal;eheaterTotal;compressorTotal;outdoorTemperature;roomTemperature1;hotWaterTemperature1
hour;2024-03-13T00:00;0;1;0;0;8,4;19;53;
hour;2024-03-13T01:00;1;1;0;1;7,6;19;53;
hour;2024-03-13T02:00;0;0;0;0;6,7;19;53;
hour;2024-03-13T03:00;0;3;0;0;5,8;19;52,3;
hour;2024-03-13T04:00;1;0;0;1;5;19;52;
hour;2024-03-13T05:00;0;0;0;0;4,7;19;52;
hour;2024-03-13T06:00;1;3,1;0;1;4;19;51,6;
hour;2024-03-13T07:00;0;0;0;0;6,1;19;51;
hour;2024-03-13T08:00;1;5;0;1;9,1;19,4;51;
hour;2024-03-13T09:00;1;0;0;1;13,4;20;51;
hour;2024-03-13T10:00;0;2;0;0;15,8;20;50;
hour;2024-03-13T11:00;1;1;0;1;16,7;20;50;
hour;2024-03-13T12:00;0;2;0;0;16,1;19,4;50;
hour;2024-03-13T13:00;1;3;0;1;15,8;19;49,3;
hour;2024-03-13T14:00;0;2;0;0;15;19;49;
hour;2024-03-13T15:00;1;2;0;1;14,9;19;49;
hour;2024-03-13T16:00;1;2;0;1;13,9;19;48,7;
hour;2024-03-13T17:00;1;2;0;1;12,9;19;48;
hour;2024-03-13T18:00;0;3;0;0;12;19;48;
hour;2024-03-13T19:00;2;4;0;2;11,1;20;48;
hour;2024-03-13T20:00;0;0;0;0;9,6;20;47;
hour;2024-03-13T21:00;1;1;0;1;8,8;20;47;
hour;2024-03-13T22:00;0;0;0;0;7,5;19,7;47;
hour;2024-03-13T23:00;0;1;0;0;6,8;19;46,3;
hour;2024-03-14T00:00;1;2;0;1;5,5;19;46;
hour;2024-03-14T01:00;0;0;0;0;5;19;46;
hour;2024-03-14T02:00;0;4;0;0;3,8;19;45,7;
hour;2024-03-14T03:00;0;-;0;1;3;19;45;
hour;2024-03-14T04:00;0;3;0;0;2;19;45;
hour;2024-03-14T05:00;1;1;0;1;2;19;45;
hour;2024-03-14T06:00;0;2;0;0;2,3;19;44;
hour;2024-03-14T07:00;1;1;0;1;4,2;19;44;
hour;2024-03-14T08:00;2;4;0;2;6,6;19;44;
hour;2024-03-14T09:00;1;2;0;1;10;19,8;43,3;
hour;2024-03-14T10:00;1;5;0;1;13;19,8;44,2;
hour;2024-03-14T11:00;1;1;0;1;15,8;19;53,4;
hour;2024-03-14T12:00;2;3;0;2;16,5;19,1;55;
hour;2024-03-14T13:00;0;0;0;0;17;20;55;
hour;2024-03-14T14:00;1;3;0;1;17;19;55;
hour;2024-03-14T15:00;0;1;0;0;16;19;54;
hour;2024-03-14T16:00;1;3;0;1;14,9;19;54;
hour;2024-03-14T17:00;0;1;0;0;13,3;19,8;54;
hour;2024-03-14T18:00;1;4;0;1;12,4;20;53,3;
hour;2024-03-14T19:00;0;0;0;0;12;20;53;
hour;2024-03-14T20:00;2;3;0;2;11,5;20;53;
hour;2024-03-14T21:00;0;0;0;0;11;20;52,7;
hour;2024-03-14T22:00;0;0;0;0;9,8;20;52;
