"Datum";"+A/789171 [kW]";"Status";
15.03.2023 00:15;0,281;namìøená data OK;
15.03.2023 00:30;0,446;namìøená data OK;
15.03.2023 00:45;2,144;namìøená data OK;
15.03.2023 01:00;1,715;namìøená data OK;
15.03.2023 01:15;1,476;namìøená data OK;
15.03.2023 01:30;1,532;namìøená data OK;
15.03.2023 01:45;0,302;namìøená data OK;
15.03.2023 02:00;0,322;namìøená data OK;
15.03.2023 02:15;0,4;namìøená data OK;
15.03.2023 02:30;0,258;namìøená data OK;
15.03.2023 02:45;1,742;namìøená data OK;
15.03.2023 03:00;2,023;namìøená data OK;
15.03.2023 03:15;1,611;namìøená data OK;
15.03.2023 03:30;1,553;namìøená data OK;
15.03.2023 03:45;1,518;namìøená data OK;
15.03.2023 04:00;0,485;namìøená data OK;
15.03.2023 04:15;0,445;namìøená data OK;
15.03.2023 04:30;0,39;namìøená data OK;
15.03.2023 04:45;1,127;namìøená data OK;
15.03.2023 05:00;2,331;namìøená data OK;
15.03.2023 05:15;1,94;namìøená data OK;
15.03.2023 05:30;1,608;namìøená data OK;
15.03.2023 05:45;1,921;namìøená data OK;
15.03.2023 06:00;1,518;namìøená data OK;
15.03.2023 06:15;0,853;namìøená data OK;
15.03.2023 06:30;0,972;namìøená data OK;
15.03.2023 06:45;0,696;namìøená data OK;
15.03.2023 07:00;0,742;namìøená data OK;
15.03.2023 07:15;2,015;namìøená data OK;
15.03.2023 07:30;1,529;namìøená data OK;
15.03.2023 07:45;0,789;namìøená data OK;
15.03.2023 08:00;0,15;namìøená data OK;
15.03.2023 08:15;0,036;namìøená data OK;
15.03.2023 08:30;0,044;namìøená data OK;
15.03.2023 08:45;0,045;namìøená data OK;
15.03.2023 09:00;0,048;namìøená data OK;
15.03.2023 09:15;0,043;namìøená data OK;
15.03.2023 09:30;0,052;namìøená data OK;
15.03.2023 09:45;0,051;namìøená data OK;
15.03.2023 10:00;0,058;namìøená data OK;
15.03.2023 10:15;0,057;namìøená data OK;
15.03.2023 10:30;0,064;namìøená data OK;
15.03.2023 10:45;0,035;namìøená data OK;
15.03.2023 11:00;0,035;namìøená data OK;
15.03.2023 11:15;0,032;namìøená data OK;
15.03.2023 11:30;0,03;namìøená data OK;
15.03.2023 11:45;0,033;namìøená data OK;
15.03.2023 12:00;0,041;namìøená data OK;
15.03.2023 12:15;0,039;namìøená data OK;
15.03.2023 12:30;0,07;namìøená data OK;
15.03.2023 12:45;0,039;namìøená data OK;
15.03.2023 13:00;0,06;namìøená data OK;
15.03.2023 13:15;0,051;namìøená data OK;
15.03.2023 13:30;0,035;namìøená data OK;
15.03.2023 13:45;0,037;namìøená data OK;
15.03.2023 14:00;0,036;namìøená data OK;
15.03.2023 14:15;0,051;namìøená data OK;
15.03.2023 14:30;0,036;namìøená data OK;
15.03.2023 14:45;0,039;namìøená data OK;
15.03.2023 15:00;0,042;namìøená data OK;
15.03.2023 15:15;0,039;namìøená data OK;
15.03.2023 15:30;0,056;namìøená data OK;
15.03.2023 15:45;0,041;namìøená data OK;
15.03.2023 16:00;0,042;namìøená data OK;
15.03.2023 16:15;0,034;namìøená data OK;
15.03.2023 16:30;0,036;namìøená data OK;
15.03.2023 16:45;0,04;namìøená data OK;
15.03.2023 17:00;0,039;namìøená data OK;
15.03.2023 17:15;0,037;namìøená data OK;
15.03.2023 17:30;0,037;namìøená data OK;
15.03.2023 17:45;0,036;namìøená data OK;
15.03.2023 18:00;0,035;namìøená data OK;
15.03.2023 18:15;0,037;namìøená data OK;
15.03.2023 18:30;0,036;namìøená data OK;
15.03.2023 18:45;0,036;namìøená data OK;
15.03.2023 19:00;0,041;namìøená data OK;
15.03.2023 19:15;0,034;namìøená data OK;
15.03.2023 19:30;0,035;namìøená data OK;
15.03.2023 19:45;0,048;namìøená data OK;
15.03.2023 20:00;0,057;namìøená data OK;
15.03.2023 20:15;1,451;namìøená data OK;
15.03.2023 20:30;2,494;namìøená data OK;
15.03.2023 20:45;1,711;namìøená data OK;
15.03.2023 21:00;1,628;namìøená data OK;
15.03.2023 21:15;0,833;namìøená data OK;
15.03.2023 21:30;0,446;namìøená data OK;
15.03.2023 21:45;0,398;namìøená data OK;
15.03.2023 22:00;0,391;namìøená data OK;
15.03.2023 22:15;1,713;namìøená data OK;
15.03.2023 22:30;2,241;namìøená data OK;
15.03.2023 22:45;1,714;namìøená data OK;
15.03.2023 23:00;1,379;namìøená data OK;
15.03.2023 23:15;1,525;namìøená data OK;
15.03.2023 23:30;1,53;namìøená data OK;
15.03.2023 23:45;1,293;namìøená data OK;
16.03.2023 00:00;0,32;namìøená data OK;
16.03.2023 00:15;0,399;namìøená data OK;
16.03.2023 00:30;0,398;namìøená data OK;
16.03.2023 00:45;2,16;namìøená data OK;
16.03.2023 01:00;1,897;namìøená data OK;
16.03.2023 01:15;1,949;namìøená data OK;
16.03.2023 01:30;1,922;namìøená data OK;
16.03.2023 01:45;1,658;namìøená data OK;
16.03.2023 02:00;1,416;namìøená data OK;
16.03.2023 02:15;1,532;namìøená data OK;
16.03.2023 02:30;1,498;namìøená data OK;
16.03.2023 02:45;1,4;namìøená data OK;
16.03.2023 03:00;1,456;namìøená data OK;
16.03.2023 03:15;1,454;namìøená data OK;
16.03.2023 03:30;0,319;namìøená data OK;
16.03.2023 03:45;0,264;namìøená data OK;
16.03.2023 04:00;0,67;namìøená data OK;
16.03.2023 04:15;2,225;namìøená data OK;
16.03.2023 04:30;2,012;namìøená data OK;
16.03.2023 04:45;1,703;namìøená data OK;
16.03.2023 05:00;1,517;namìøená data OK;
16.03.2023 05:15;1,411;namìøená data OK;
16.03.2023 05:30;1,339;namìøená data OK;
16.03.2023 05:45;1,592;namìøená data OK;
16.03.2023 06:00;1,395;namìøená data OK;
16.03.2023 06:15;1,445;namìøená data OK;
16.03.2023 06:30;1,311;namìøená data OK;
16.03.2023 06:45;0,634;namìøená data OK;
16.03.2023 07:00;0,125;namìøená data OK;
16.03.2023 07:15;0,036;namìøená data OK;
16.03.2023 07:30;0,035;namìøená data OK;
16.03.2023 07:45;0,037;namìøená data OK;
16.03.2023 08:00;0,037;namìøená data OK;
16.03.2023 08:15;0,031;namìøená data OK;
16.03.2023 08:30;0,033;namìøená data OK;
16.03.2023 08:45;0,036;namìøená data OK;
16.03.2023 09:00;0,037;namìøená data OK;
16.03.2023 09:15;0,036;namìøená data OK;
16.03.2023 09:30;0,045;namìøená data OK;
16.03.2023 09:45;0,036;namìøená data OK;
16.03.2023 10:00;0,031;namìøená data OK;
16.03.2023 10:15;0,033;namìøená data OK;
16.03.2023 10:30;0,046;namìøená data OK;
16.03.2023 10:45;0,045;namìøená data OK;
16.03.2023 11:00;0,042;namìøená data OK;
16.03.2023 11:15;0,061;namìøená data OK;
16.03.2023 11:30;0,079;namìøená data OK;
16.03.2023 11:45;0,058;namìøená data OK;
16.03.2023 12:00;0,039;namìøená data OK;
16.03.2023 12:15;0,036;namìøená data OK;
16.03.2023 12:30;0,038;namìøená data OK;
16.03.2023 12:45;0,039;namìøená data OK;
16.03.2023 13:00;0,038;namìøená data OK;
16.03.2023 13:15;0,051;namìøená data OK;
16.03.2023 13:30;0,038;namìøená data OK;
16.03.2023 13:45;0,039;namìøená data OK;
16.03.2023 14:00;0,04;namìøená data OK;
16.03.2023 14:15;0,039;namìøená data OK;
16.03.2023 14:30;0,037;namìøená data OK;
16.03.2023 14:45;0,07;namìøená data OK;
16.03.2023 15:00;0,045;namìøená data OK;
16.03.2023 15:15;0,04;namìøená data OK;
16.03.2023 15:30;0,041;namìøená data OK;
16.03.2023 15:45;0,036;namìøená data OK;
16.03.2023 16:00;0,032;namìøená data OK;
16.03.2023 16:15;0,034;namìøená data OK;
16.03.2023 16:30;0,038;namìøená data OK;
16.03.2023 16:45;0,037;namìøená data OK;
16.03.2023 17:00;0,035;namìøená data OK;
16.03.2023 17:15;0,037;namìøená data OK;
16.03.2023 17:30;0,037;namìøená data OK;
16.03.2023 17:45;0,035;namìøená data OK;
16.03.2023 18:00;0,031;namìøená data OK;
16.03.2023 18:15;0,032;namìøená data OK;
16.03.2023 18:30;0,047;namìøená data OK;
16.03.2023 18:45;0,039;namìøená data OK;
16.03.2023 19:00;0,038;namìøená data OK;
16.03.2023 19:15;0,036;namìøená data OK;
16.03.2023 19:30;0,038;namìøená data OK;
16.03.2023 19:45;0,038;namìøená data OK;
16.03.2023 20:00;0,035;namìøená data OK;
16.03.2023 20:15;0,033;namìøená data OK;
16.03.2023 20:30;0,03;namìøená data OK;
16.03.2023 20:45;0,043;namìøená data OK;
16.03.2023 21:00;0,044;namìøená data OK;
16.03.2023 21:15;0,039;namìøená data OK;
16.03.2023 21:30;0,998;namìøená data OK;
16.03.2023 21:45;1,624;namìøená data OK;
16.03.2023 22:00;0,322;namìøená data OK;
16.03.2023 22:15;0,289;namìøená data OK;
16.03.2023 22:30;0,409;namìøená data OK;
16.03.2023 22:45;0,425;namìøená data OK;
16.03.2023 23:00;2,117;namìøená data OK;
16.03.2023 23:15;1,984;namìøená data OK;
16.03.2023 23:30;1,619;namìøená data OK;
16.03.2023 23:45;1,497;namìøená data OK;
17.03.2023 00:00;1,442;namìøená data OK;
17.03.2023 00:15;0,832;namìøená data OK;
17.03.2023 00:30;0,34;namìøená data OK;
17.03.2023 00:45;0,244;namìøená data OK;
17.03.2023 01:00;0,969;namìøená data OK;
17.03.2023 01:15;2,334;namìøená data OK;
17.03.2023 01:30;2,012;namìøená data OK;
17.03.2023 01:45;1,582;namìøená data OK;
17.03.2023 02:00;1,522;namìøená data OK;
17.03.2023 02:15;1,394;namìøená data OK;
17.03.2023 02:30;1,375;namìøená data OK;
17.03.2023 02:45;0,816;namìøená data OK;
17.03.2023 03:00;0,273;namìøená data OK;
17.03.2023 03:15;0,226;namìøená data OK;
17.03.2023 03:30;0,856;namìøená data OK;
17.03.2023 03:45;2,165;namìøená data OK;
17.03.2023 04:00;2,041;namìøená data OK;
17.03.2023 04:15;1,627;namìøená data OK;
17.03.2023 04:30;1,459;namìøená data OK;
17.03.2023 04:45;1,41;namìøená data OK;
