"Datum";"-A d/789171 [kWh]";"Status";
16.03.2023 00:00;0,0813;namìøená data OK;
17.03.2023 00:00;0,0503;namìøená data OK;
18.03.2023 00:00;0,0712;namìøená data OK;
19.03.2023 00:00;0,0483;namìøená data OK;
20.03.2023 00:00;0,0355;namìøená data OK;
21.03.2023 00:00;0,0495;namìøená data OK;
22.03.2023 00:00;0,1015;namìøená data OK;
23.03.2023 00:00;0,104;namìøená data OK;
24.03.2023 00:00;0,014;namìøená data OK;
25.03.2023 00:00;0,0032;namìøená data OK;
26.03.2023 00:00;0,2492;namìøená data OK;
27.03.2023 00:00;0,0525;namìøená data OK;
28.03.2023 00:00;0,1415;namìøená data OK;
29.03.2023 00:00;0,1512;namìøená data OK;
30.03.2023 00:00;0,0173;namìøená data OK;
31.03.2023 00:00;0,0125;namìøená data OK;
01.04.2023 00:00;0,019;namìøená data OK;
02.04.2023 00:00;0,0578;namìøená data OK;
03.04.2023 00:00;0,0035;namìøená data OK;
04.04.2023 00:00;0,129;namìøená data OK;
05.04.2023 00:00;0,097;namìøená data, vıpadek napìtí;
06.04.2023 00:00;0,0355;namìøená data OK;
07.04.2023 00:00;0,0793;namìøená data OK;
08.04.2023 00:00;0,0077;namìøená data OK;
09.04.2023 00:00;0,0135;namìøená data OK;
10.04.2023 00:00;0,023;namìøená data OK;
11.04.2023 00:00;0,2895;namìøená data OK;
12.04.2023 00:00;0,02;namìøená data OK;
13.04.2023 00:00;0,0442;namìøená data OK;
14.04.2023 00:00;0,0107;namìøená data OK;
15.04.2023 00:00;0,004;namìøená data OK;
16.04.2023 00:00;0,026;namìøená data OK;
17.04.2023 00:00;0,0813;namìøená data OK;
18.04.2023 00:00;0,0643;namìøená data OK;
19.04.2023 00:00;0,0985;namìøená data OK;
20.04.2023 00:00;0,1;namìøená data OK;
21.04.2023 00:00;0,08;namìøená data OK;
22.04.2023 00:00;0,1003;namìøená data OK;
23.04.2023 00:00;0,077;namìøená data OK;
24.04.2023 00:00;0,0283;namìøená data OK;
25.04.2023 00:00;0,0272;namìøená data OK;
26.04.2023 00:00;0,055;namìøená data OK;
27.04.2023 00:00;0,163;namìøená data OK;
28.04.2023 00:00;0,1752;namìøená data OK;
29.04.2023 00:00;1,83;namìøená data OK;
30.04.2023 00:00;5,7495;namìøená data OK;
01.05.2023 00:00;37,8783;namìøená data OK;
02.05.2023 00:00;39,7227;namìøená data OK;
03.05.2023 00:00;7,6143;namìøená data OK;
04.05.2023 00:00;41,8222;namìøená data OK;
05.05.2023 00:00;45,3693;namìøená data OK;
06.05.2023 00:00;43,1925;namìøená data OK;
07.05.2023 00:00;26,3505;namìøená data OK;
08.05.2023 00:00;15,458;namìøená data OK;
09.05.2023 00:00;46,0598;namìøená data OK;
10.05.2023 00:00;53,7013;namìøená data OK;
11.05.2023 00:00;54,4117;namìøená data OK;
12.05.2023 00:00;26,9975;namìøená data OK;
13.05.2023 00:00;36,032;namìøená data OK;
