Date,Time,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2
2023/03/16,12:04 AM,-1.5,-1.67,98.0,WNW,0.32,0.32,1011.85,0.0,0.0,0.0,0.0
2023/03/16,12:09 AM,-1.5,-1.72,98.0,WNW,0.0,0.0,1011.85,0.0,0.0,0.0,0.0
2023/03/16,12:14 AM,-1.44,-1.56,98.0,WNW,0.0,0.0,1011.85,0.0,0.0,0.0,0.0
2023/03/16,12:19 AM,-1.39,-1.44,98.0,WNW,0.0,0.0,1011.85,0.0,0.0,0.0,0.0
2023/03/16,12:24 AM,-1.44,-1.5,98.0,WNW,1.13,1.13,1011.51,0.0,0.0,0.0,0.0
2023/03/16,12:29 AM,-1.44,-1.56,98.0,WNW,2.74,2.74,1011.85,0.0,0.0,0.0,0.0
2023/03/16,12:34 AM,-1.61,-1.83,98.0,West,2.9,3.06,1012.19,0.0,0.0,0.0,0.0
2023/03/16,12:39 AM,-1.72,-1.94,97.0,West,1.77,1.77,1012.19,0.0,0.0,0.0,0.0
2023/03/16,12:44 AM,-1.67,-1.89,97.0,West,0.32,0.32,1011.85,0.0,0.0,0.0,0.0
2023/03/16,12:49 AM,-1.72,-1.94,97.0,West,0.0,0.0,1012.19,0.0,0.0,0.0,0.0
2023/03/16,12:54 AM,-1.72,-1.94,97.0,West,0.0,0.0,1012.19,0.0,0.0,0.0,0.0
2023/03/16,12:59 AM,-1.89,-2.06,97.0,West,0.0,0.0,1012.19,0.0,0.0,0.0,0.0
2023/03/16,01:04 AM,-2.0,-2.22,97.0,West,0.0,0.0,1012.19,0.0,0.0,0.0,0.0
2023/03/16,01:09 AM,-1.94,-2.06,98.0,West,0.0,0.0,1012.19,0.0,0.0,0.0,0.0
2023/03/16,01:14 AM,-1.72,-1.83,98.0,West,0.64,0.64,1012.53,0.0,0.0,0.0,0.0
2023/03/16,01:19 AM,-1.78,-1.89,98.0,West,1.13,1.13,1012.53,0.0,0.0,0.0,0.0
2023/03/16,01:24 AM,-1.78,-1.89,98.0,West,1.45,1.45,1012.19,0.0,0.0,0.0,0.0
2023/03/16,01:29 AM,-1.78,-1.89,98.0,West,1.29,1.29,1012.53,0.0,0.0,0.0,0.0
2023/03/16,01:34 AM,-1.89,-2.0,98.0,West,2.57,2.57,1012.53,0.0,0.0,0.0,0.0
2023/03/16,01:39 AM,-2.0,-2.06,98.0,West,2.25,2.25,1012.53,0.0,0.0,0.0,0.0
2023/03/16,01:44 AM,-2.06,-2.28,97.0,West,2.25,2.25,1012.53,0.0,0.0,0.0,0.0
2023/03/16,01:49 AM,-2.28,-2.44,97.0,West,2.9,2.9,1012.19,0.0,0.0,0.0,0.0
2023/03/16,01:54 AM,-2.28,-2.44,97.0,West,0.97,0.97,1012.53,0.0,0.0,0.0,0.0
2023/03/16,01:59 AM,-2.11,-2.33,97.0,West,0.16,0.16,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:04 AM,-2.17,-2.39,97.0,West,0.8,0.8,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:09 AM,-2.22,-2.44,97.0,West,0.32,0.32,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:14 AM,-2.22,-2.44,97.0,West,0.64,0.64,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:19 AM,-2.22,-2.44,97.0,West,0.48,0.48,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:24 AM,-2.33,-2.5,97.0,West,1.29,1.29,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:29 AM,-2.44,-2.61,97.0,West,0.64,0.64,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:34 AM,-2.39,-2.56,97.0,West,1.29,1.29,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:39 AM,-2.44,-2.67,97.0,West,0.32,0.32,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:44 AM,-2.5,-2.78,97.0,West,0.0,0.0,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:49 AM,-2.39,-2.56,97.0,West,0.0,0.0,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:54 AM,-2.22,-2.44,97.0,West,0.0,0.0,1012.53,0.0,0.0,0.0,0.0
2023/03/16,02:59 AM,-2.17,-2.39,97.0,West,0.0,0.0,1012.53,0.0,0.0,0.0,0.0
2023/03/16,03:04 AM,-2.22,-2.44,97.0,West,0.0,0.0,1012.53,0.0,0.0,0.0,0.0
2023/03/16,03:09 AM,-2.44,-2.72,97.0,West,0.0,0.0,1012.53,0.0,0.0,0.0,0.0
2023/03/16,03:14 AM,-2.5,-2.83,97.0,West,0.0,0.0,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:19 AM,-2.44,-2.61,97.0,West,0.0,0.0,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:24 AM,-2.28,-2.44,97.0,West,0.0,0.0,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:29 AM,-2.22,-2.39,98.0,West,0.0,0.0,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:34 AM,-2.44,-2.72,97.0,West,0.0,0.0,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:39 AM,-2.72,-2.94,97.0,West,0.0,0.0,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:44 AM,-2.94,-3.06,97.0,West,0.32,0.32,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:49 AM,-2.83,-2.94,98.0,West,0.97,0.97,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:54 AM,-2.94,-3.17,97.0,West,0.48,0.48,1012.87,0.0,0.0,0.0,0.0
2023/03/16,03:59 AM,-3.33,-3.5,97.0,West,2.09,2.09,1012.87,0.0,0.0,0.0,0.0
2023/03/16,04:04 AM,-3.39,-3.61,97.0,West,2.09,2.09,1012.87,0.0,0.0,0.0,0.0
2023/03/16,04:09 AM,-3.5,-3.83,97.0,West,1.61,1.61,1012.87,0.0,0.0,0.0,0.0
2023/03/16,04:14 AM,-3.44,-3.67,97.0,West,0.32,0.32,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:19 AM,-3.33,-3.5,97.0,West,0.48,0.48,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:24 AM,-3.33,-3.56,97.0,West,0.32,0.32,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:29 AM,-3.44,-3.67,96.0,West,0.32,0.32,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:34 AM,-3.39,-3.56,97.0,West,0.0,0.0,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:39 AM,-3.17,-3.39,97.0,West,0.48,0.48,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:44 AM,-3.0,-3.22,97.0,West,0.16,0.16,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:49 AM,-3.0,-3.22,97.0,West,0.0,0.0,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:54 AM,-3.06,-3.28,97.0,West,0.0,0.0,1013.21,0.0,0.0,0.0,0.0
2023/03/16,04:59 AM,-3.11,-3.33,97.0,West,0.48,0.48,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:04 AM,-3.06,-3.28,97.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:09 AM,-3.06,-3.28,97.0,West,0.0,0.0,1013.21,0.0,0.0,0.0,0.0
2023/03/16,05:14 AM,-3.28,-3.44,97.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:19 AM,-3.44,-3.67,97.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:24 AM,-3.5,-3.83,97.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:29 AM,-3.5,-3.83,97.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:34 AM,-3.5,-3.83,97.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:39 AM,-3.5,-3.72,97.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:44 AM,-3.33,-3.44,98.0,West,0.0,0.0,1013.55,0.0,0.0,0.0,0.0
2023/03/16,05:49 AM,-3.06,-3.17,98.0,West,0.48,0.48,1013.88,0.0,0.0,0.0,0.0
2023/03/16,05:54 AM,-2.83,-2.94,98.0,West,1.77,1.77,1013.88,0.0,0.0,0.0,0.0
2023/03/16,05:59 AM,-2.78,-2.89,98.0,West,1.13,1.13,1013.88,0.0,0.0,0.0,0.8
2023/03/16,06:04 AM,-2.89,-3.06,97.0,West,0.8,0.8,1013.88,0.0,0.0,0.0,1.7
2023/03/16,06:09 AM,-3.0,-3.22,97.0,West,0.64,0.64,1013.88,0.0,0.0,0.0,2.8
2023/03/16,06:14 AM,-3.22,-3.44,97.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,4.3
2023/03/16,06:19 AM,-3.22,-3.44,97.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,5.8
2023/03/16,06:24 AM,-3.17,-3.39,97.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,8.4
2023/03/16,06:29 AM,-3.33,-3.44,98.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,11.2
2023/03/16,06:34 AM,-3.28,-3.39,98.0,West,0.0,0.0,1014.22,0.0,0.0,0.0,14.3
2023/03/16,06:39 AM,-3.22,-3.39,97.0,West,0.0,0.0,1014.22,0.0,0.0,0.0,17.4
2023/03/16,06:44 AM,-3.11,-3.33,97.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,25.0
2023/03/16,06:49 AM,-3.06,-3.22,98.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,30.0
2023/03/16,06:54 AM,-3.0,-3.22,97.0,West,0.16,0.16,1013.88,0.0,0.0,0.0,34.9
2023/03/16,06:59 AM,-3.06,-3.28,97.0,West,0.32,0.32,1013.88,0.0,0.0,0.0,39.8
2023/03/16,07:04 AM,-3.06,-3.28,97.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,45.3
2023/03/16,07:09 AM,-2.83,-3.0,97.0,West,0.0,0.0,1013.88,0.0,0.0,0.0,49.8
2023/03/16,07:14 AM,-2.44,-2.83,96.0,West,0.0,0.0,1014.22,0.0,0.0,0.0,55.8
2023/03/16,07:19 AM,-2.22,-2.56,96.0,West,0.0,0.0,1014.22,0.0,0.0,0.0,63.2
2023/03/16,07:24 AM,-2.06,-2.5,96.0,West,0.16,0.16,1013.88,0.0,0.0,1.0,70.8
2023/03/16,07:29 AM,-1.89,-2.28,96.0,West,0.0,0.0,1014.22,0.0,0.0,1.0,78.2
2023/03/16,07:34 AM,-1.56,-2.0,96.0,West,0.0,0.0,1014.22,0.0,0.0,1.0,82.0
2023/03/16,07:39 AM,-1.17,-1.67,95.0,West,0.16,0.16,1014.22,0.0,0.0,0.0,88.6
2023/03/16,07:44 AM,-0.94,-1.5,95.0,West,0.64,0.64,1014.22,0.0,0.0,1.0,93.3
2023/03/16,07:49 AM,-0.78,-1.28,95.0,West,0.48,0.48,1014.22,0.0,0.0,1.0,98.0
2023/03/16,07:54 AM,-0.61,-1.28,94.0,West,2.57,2.57,1014.56,0.0,0.0,1.0,110.8
2023/03/16,07:59 AM,-0.5,-1.33,94.0,WNW,3.06,3.06,1014.56,0.0,0.0,1.0,113.3
2023/03/16,08:04 AM,-0.44,-1.28,94.0,WNW,3.06,3.06,1014.56,0.0,0.0,1.0,119.1
2023/03/16,08:09 AM,-0.39,-1.17,94.0,WNW,4.02,4.02,1014.22,0.0,0.0,1.0,126.6
2023/03/16,08:14 AM,-0.22,-1.06,94.0,WNW,3.38,3.38,1014.56,0.0,0.0,1.0,132.9
2023/03/16,08:19 AM,-0.11,-0.94,94.0,NW,3.06,3.06,1014.56,2.29,0.25,1.0,140.3
2023/03/16,08:24 AM,0.06,-0.94,93.0,NW,2.41,2.41,1014.56,2.29,0.25,1.0,143.5
2023/03/16,08:29 AM,0.22,-0.83,93.0,NW,3.38,3.38,1014.9,2.29,0.25,1.0,145.6
2023/03/16,08:34 AM,0.44,-0.56,93.0,WNW,4.18,4.34,1014.9,0.0,0.25,1.0,140.1
2023/03/16,08:39 AM,0.5,-0.56,92.0,NW,4.34,4.67,1014.9,0.0,0.25,1.0,149.3
2023/03/16,08:44 AM,0.72,-0.44,92.0,WNW,3.22,3.22,1014.9,0.0,0.25,1.0,137.1
2023/03/16,08:49 AM,1.0,-0.44,91.0,WNW,2.74,2.74,1014.9,0.0,0.25,1.0,145.9
2023/03/16,08:54 AM,1.17,-0.33,90.0,WNW,2.41,2.41,1014.9,0.0,0.25,1.0,158.6
2023/03/16,08:59 AM,1.39,-0.17,90.0,NW,3.06,3.06,1014.9,0.0,0.25,1.0,174.9
2023/03/16,09:04 AM,1.44,-0.06,89.0,NW,1.77,1.77,1014.9,0.0,0.25,3.0,191.3
2023/03/16,09:09 AM,1.78,0.11,89.0,NW,1.93,1.93,1014.9,0.0,0.25,3.0,226.3
2023/03/16,09:14 AM,2.11,0.33,88.0,NW,1.45,1.45,1014.9,0.0,0.25,3.0,238.3
2023/03/16,09:19 AM,2.39,0.56,88.0,NW,2.41,2.41,1014.9,0.0,0.25,3.0,256.5
2023/03/16,09:24 AM,2.06,0.17,87.0,NW,2.9,2.9,1014.9,0.0,0.25,4.0,329.9
2023/03/16,09:29 AM,2.33,0.33,87.0,NW,1.45,1.45,1014.9,0.0,0.25,4.0,343.0
2023/03/16,09:34 AM,2.72,0.72,86.0,NW,0.97,0.97,1014.9,0.0,0.25,4.0,349.7
2023/03/16,09:39 AM,2.72,0.44,86.0,NW,2.25,2.25,1014.9,0.0,0.25,4.0,356.0
2023/03/16,09:44 AM,2.5,0.06,84.0,NW,0.32,0.32,1014.9,0.0,0.25,4.0,397.4
2023/03/16,09:49 AM,2.89,0.44,84.0,NW,1.77,1.77,1014.9,0.0,0.25,4.0,397.4
2023/03/16,09:54 AM,3.11,0.61,84.0,NW,2.09,2.09,1014.9,0.0,0.25,5.0,421.5
2023/03/16,09:59 AM,3.11,0.67,84.0,NW,3.06,3.06,1014.9,0.0,0.25,4.0,437.5
2023/03/16,10:04 AM,3.17,0.44,83.0,NNW,2.09,2.09,1014.9,0.0,0.25,5.0,435.5
2023/03/16,10:09 AM,3.44,0.56,82.0,East,1.93,1.93,1014.9,0.0,0.25,5.0,453.5
2023/03/16,10:14 AM,3.56,0.5,81.0,ENE,1.45,1.45,1014.9,0.0,0.25,5.0,439.9
2023/03/16,10:19 AM,3.33,0.5,82.0,NE,2.9,2.9,1014.9,0.0,0.25,5.0,463.6
