,update time,PV1 voltage (V),PV1 current (A),PV1 input power(W),PV2 voltage (V),PV2 current (A),PV2 input power(W),AC current R(A),AC voltage R(V),AC current S(A),AC voltage S(V),AC current T(A),AC voltage T(V),output power(W),feed-in power(W),daily yield(kWh),total yield(kWh),feed-in energy(kWh),consume energy(kWh),EPS active power R(W),EPS active power S(W),EPS active power T(W),EPS apparent power R(VA),EPS apparent power S(VA),EPS apparent power T(VA),Inverter Status,Battery operating status,timestamp,rounded_timestamp
0,2023-03-16 00:01:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-812,0,"425,7","0,9","663,22",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:01:42,2023-03-16 00:00:00
1,2023-03-16 00:06:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-805,0,"425,7","0,9","663,27",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:06:42,2023-03-16 00:05:00
2,2023-03-16 00:11:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-809,0,"425,7","0,9","663,33",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:11:42,2023-03-16 00:10:00
3,2023-03-16 00:16:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-801,0,"425,7","0,9","663,39",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:16:42,2023-03-16 00:15:00
4,2023-03-16 00:21:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-807,0,"425,7","0,9","663,45",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:21:42,2023-03-16 00:20:00
5,2023-03-16 00:26:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-805,0,"425,7","0,9","663,51",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:26:42,2023-03-16 00:25:00
6,2023-03-16 00:31:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-1973,0,"425,7","0,9","663,61",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:31:42,2023-03-16 00:30:00
7,2023-03-16 00:36:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-2113,0,"425,7","0,9","663,79",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:36:42,2023-03-16 00:35:00
8,2023-03-16 00:41:43,0,0,0,0,0,0,0,0,0,0,0,0,0,-2121,0,"425,7","0,9","663,96",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:41:43,2023-03-16 00:40:00
9,2023-03-16 00:46:43,0,0,0,0,0,0,0,0,0,0,0,0,0,-2163,0,"425,7","0,9","664,14",0,0,0,0,0,0,IdleMode,Normal,2023-03-16 00:46:43,2023-03-16 00:45:00
