timestamp,PV1 voltage (V),PV1 current (A),PV1 input power(W),PV2 voltage (V),PV2 current (A),PV2 input power(W),AC current R(A),AC voltage R(V),AC current S(A),AC voltage S(V),AC current T(A),AC voltage T(V),output power(W),feed-in power(W),daily yield(kWh),total yield(kWh),feed-in energy(kWh),consume energy(kWh),Inverter Status,Battery operating status,Temperature_C,Dew_Point_C,Humidity_%,Wind,Speed_kmh,Gust_kmh,Pressure_hPa,Precip_Rate_mm,Precip_Accum_mm,UV,Solar_w/m2,dataset,PV1_voltage_(V)_cat,PV2_voltage_(V)_cat,PV1_current_(A)_cat,PV2_current_(A)_cat,PV1_input_power(W)_cat,PV2_input_power(W)_cat,output_power(W)_cat,feed-in_power(W)_cat,Temperature_cat,Dew_Point_C_cat,Humidity_%_cat,Speed_kmh_cat,Precip_Rate_mm_cat,prší?,hour,day_of_week,is_workday,hourly_yield,hourly_feed_in_energy,hourly_consumed,sobestacnost,system_pracuje,pretok,h_spotreba_cat,h_yield_cat,h_feedin_cat
2023-03-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1372.33,0.0,425.7,0.9,663.7,IdleMode,Normal,-0.89,-1.4,95.0,,0.47,0.47,1011.27,0.0,0.0,0.0,0.0,IVELKO9,Nula,Nula,Nula,Nula,Nula,Nula,Nula,Neg Extremely Low,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,0,3,pracovní den,0.0,0.0,1.79,ne,ne,ne,1250Wh-2000Wh,Vypnuto,Nedodava
2023-03-16 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1783.17,0.0,425.7,0.9,665.49,IdleMode,Normal,-1.46,-1.92,95.83,,0.16,0.16,1011.68,0.0,0.0,0.0,0.0,IVELKO9,Nula,Nula,Nula,Nula,Nula,Nula,Nula,Neg Low,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,1,3,pracovní den,0.0,0.0,1.51,ne,ne,ne,1250Wh-2000Wh,Vypnuto,Nedodava
2023-03-16 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1507.33,0.0,425.7,0.9,667.0,IdleMode,Normal,-1.33,-1.87,94.83,,0.7,0.7,1011.79,0.0,0.0,0.0,0.0,IVELKO9,Nula,Nula,Nula,Nula,Nula,Nula,Nula,Neg Low,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,2,3,pracovní den,0.0,0.0,1.21,ne,ne,ne,1000-1250Wh,Vypnuto,Nedodava
2023-03-16 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-977.83,0.0,425.7,0.9,668.21,IdleMode,Normal,-1.68,-2.24,94.75,,0.25,0.25,1012.08,0.0,0.0,0.0,0.0,IVELKO9,Nula,Nula,Nula,Nula,Nula,Nula,Nula,Neg Extremely Low,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,3,3,pracovní den,0.0,0.0,1.41,ne,ne,ne,1250Wh-2000Wh,Vypnuto,Nedodava
2023-03-16 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1885.58,0.0,425.7,0.9,669.62,IdleMode,Normal,-1.55,-2.38,93.5,,1.48,1.48,1012.36,0.0,0.0,0.0,0.0,IVELKO9,Nula,Nula,Nula,Nula,Nula,Nula,Nula,Neg Low,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,4,3,pracovní den,0.0,0.0,1.55,ne,ne,ne,1250Wh-2000Wh,Vypnuto,Nedodava
2023-03-16 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1595.83,0.0,425.7,0.9,671.17,IdleMode,Normal,-2.1,-2.73,94.33,,0.13,0.13,1012.87,0.0,0.0,0.0,0.02,IVELKO9,Nula,Nula,Nula,Nula,Nula,Nula,Nula,Neg Low,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,5,3,pracovní den,0.16,0.0,1.31,ne,ano,ne,1250Wh-2000Wh,<500Wh,Nedodava
2023-03-16 06:00:00,278.88,0.22,93.0,318.27,1.09,488.25,1.14,179.28,1.13,178.98,1.21,177.59,572.67,-910.17,0.16,425.86,0.9,672.48,NormalMode,Normal,-3.0,-3.38,95.75,,0.0,0.0,1013.21,0.0,0.0,0.0,11.79,IVELKO9,Nula,Normal,A<3,A<3,Extremely Low,Nula,Extremely Low,Neg Low,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,6,3,pracovní den,1.17,0.0,0.3,ne,ano,ne,1000-1250Wh,500-1500Wh,Nedodava
2023-03-16 07:00:00,482.31,1.44,733.58,429.42,5.22,2260.5,2.17,238.42,2.0,238.76,2.62,237.81,1438.25,0.0,1.32,427.02,0.9,672.78,NormalMode,Normal,-0.76,-2.0,90.75,,0.42,0.42,1013.46,0.0,0.0,0.67,73.88,IVELKO9,High,Normal,A<3,3<A<7,Low,Normal,Low,Nula,-5 až 0,-5 až 0,80-99,0-2.5,0,neprší,7,3,pracovní den,0.97,0.0,0.06,ne,ano,ne,<100 Wh,500-1500Wh,Nedodava
2023-03-16 08:00:00,519.46,3.78,1988.0,407.11,8.19,3350.83,1.74,239.95,1.61,239.54,1.87,239.66,858.83,-3.25,2.3,428.0,0.9,672.84,NormalMode,Normal,1.25,-1.14,84.5,,1.06,1.06,1013.91,0.57,0.12,1.67,183.5,IVELKO9,High,Normal,3<A<7,7<A<10,Normal,High,Extremely Low,Nula,0 až 5,-5 až 0,80-99,0-2.5,0,neprší,8,3,pracovní den,1.24,0.0,0.0,ano,ano,ne,<100 Wh,500-1500Wh,Nedodava
2023-03-16 09:00:00,514.98,4.96,2580.58,411.08,7.37,3011.25,1.66,241.82,1.58,240.76,1.8,241.42,863.25,-18.0,3.54,429.24,0.9,672.84,NormalMode,Normal,3.04,-0.34,78.83,,1.6,1.6,1014.22,0.0,0.25,2.92,321.77,IVELKO9,High,Normal,3<A<7,7<A<10,Normal,High,Extremely Low,Nula,0 až 5,-5 až 0,60-79,0-2.5,0,neprší,9,3,pracovní den,0.54,0.0,0.09,ne,ano,ne,<100 Wh,500-1500Wh,Nedodava
